Job,Company,Location,Publication date,Company's rate
Estates analyst,Jcdecaux,Calvados,1,"['3,8']"
Data analyst,We +,Aix-en-Provence (13),1,Not specified
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Alternance - data community manager,Groupama Assurances Mutuelles,Nanterre (92),1,Not specified
Expert tests automatisés / freelance,Siderlog Atlantique,Niort (79),1,Not specified
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Data analyst,Audencia Eesc,Nantes (44),1,Not specified
Product data analyst confirmé.e,Malt,Paris (75),1,"['2,7']"
Business analyst,Jobopportunit,Toulon (83),1,Not specified
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Data analyst,Not specified,"Maif
 - 79 - Niort",1,Not specified
Data analyst -,Not specified,"Leclerc
 - 94 - Ivry Sur Seine",1,Not specified
"Data analyst f/h - système, réseaux, données",Not specified,"Gie Rsm Paris
 - 75 - Paris (Dept.)",1,Not specified
Data analyst,Not specified,75 - Paris (Dept.),1,Not specified
Data analyst,Not specified,92 - Issy Les Moulineaux,1,Not specified
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Data analyst,Not specified,92 - Rueil Malmaison,1,Not specified
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Data analyst recouvrement h/f (cdi,Not specified,33 - Bordeaux,1,Not specified
Data analyst h/f (cdi,Not specified,76 - Le Havre,1,Not specified
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Data analyst,Not specified,59 - Lille,1,Not specified
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Charge de clientele livres,Gfk,Suresnes (92),1,"['3,7']"
Analyste fonctionnel sap mm s/4hana,Eurovia,Rueil-Malmaison (92),1,"['3,8']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Analyste / chargé de projets - alternance,"Covéa (Maaf, Mma, Gmf)",Tours (37),1,"['3,1']"
Engagement manager,Iqvia,Bordeaux (33),1,"['3,8']"
Analyste risk data quality,Psa Banque,Poissy (78),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Analyste / chargé de projets f/h - alternance,Groupe Covéa,Tours (37),1,"['3,3']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Analyste marché obligataire,Amf,Paris (75),1,"['3,3']"
Data analyste informatique,01 Technologie,Aix-en-Provence (13),1,Not specified
Alternance - data community manager,Groupama Assurances Mutuelles,Nanterre (92),1,Not specified
Ield marketing specialist,Avaya,Paris (75),1,"['3,8']"
Analyste / chargé de projets - alternance,"Covéa (Maaf, Mma, Gmf)",Tours (37),1,"['3,1']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
Ingénieur data analyst,Segula Technologies,La Rochelle (17),1,"['3,0']"
