,CommonName,HomeRange_ha
344,Sahamalaza_Sportive_Lemur,0.84
345,Masoala_Sportive_Lemur,
346,Seal_s_Sportive_Lemur,
347,Sahafary_Sportive_Lemur,1.0
349,Nosy_Be_Sportive_Lemur,
350,Wright_s_Sportive_Lemur,
351,Gray_cheeked_Mangabey,167.0
353,Northern_Black_Crested_Mangabey,59.0
354,Johnston_s_Mangabey,
355,Southern_Back_Crested_Mangabey,
356,Rusty_mantled_Mangabey,
357,Ugandan_Crested_Mangabey,155.0
358,Gray_Slender_Loris,27.2
360,Red_Slender_Loris,5.0
362,Stump_tailed_Macaque,461.5
363,Assamese_Macaque,433.5
366,Taiwanese_Macaque,120.0
369,Long_tailed_Macaque,157.0
370,Japanese_Macaque,23.95
375,Heck_s_Macaque,100.0
376,Northern_Pig_tailed_Macaque,215.0
377,White_cheeked_Macaque,
378,Moor_Macaque,20.0
379,Rhesus_Macaque,47.75
381,Arunachal_Macaque,26.0
383,Sunda_Pig_tailed_Macaque,314.3
385,Crested_Macaque,216.0
386,Gorontalo_Macaque,
387,Booted_Macaque,57.0
388,Pagai_Macaque,
389,Bonnet_Macaque,26.0
390,Siberut_Macaque,125.0
392,Lion_tailed_Macaque,125.0
394,Toque_Macaque,66.0
395,Barbary_Macaque,725.0
397,Tibetan_Macaque,1106.0
399,Tonkean_Macaque,104.75
400,Drill,2750.0
401,Mandrill,4000.0
405,Rio_Acarí_Marmoset,
406,Silvery_Marmoset,10.5
411,Golden_white_Tassel_ear_Marmoset,
412,Snethlage_s_Marmoset,
413,Santarém_Marmoset,13.8
416,Rio_Aripuanã_Marmoset,25.17
417,Golden_white_Bare_ear_Marmoset,
418,Marca_s_Marmoset,
419,Maués_Marmoset,
420,Black_tailed_Marmoset,429.5
422,Black_headed_Marmoset,
423,Rondon_s_Marmoset,
424,Sateré_Marmoset,
425,Montagne_d_Ambre_Mouse_Lemur,
426,Madame_Berthe_s_Mouse_Lemur,3.7
427,Bongolava_Mouse_Lemur,
428, Nosy_Boraha_Mouse_Lemur,
429,Ambarijeby_Mouse_Lemur,
430,Ganzhorn's_Mouse_Lemur,
431,Gerp_s_Mouse_Lemur,
432,Gray_brown_Mouse_Lemur,0.3
434,Jolly_s_Mouse_Lemur,
435,Goodman_s_Mouse_Lemur,0.35
436,Anjiahely_Mouse_Lemur,
437,Nosy_Be_Mouse_Lemur,
438,Bemanasy_Mouse_Lemur,
439,Margot_Marsh_s_Mouse_Lemur,
440,Marohita_Mouse_Lemur,
441,Mittermeier_s_Mouse_Lemur,
442,Gray_Mouse_Lemur,1.75
444,Peters_s_Mouse_Lemur,
445,Golden_brown_Mouse_Lemur,0.57
446,Rufous_Mouse_Lemur,1.0
448,Sambirano_Mouse_Lemur,1.2
449,Simmons_s_Mouse_Lemur,
450,Anosi_Mouse_lemur,
451,Tavaratra_Mouse_Lemur,
452,Northern_Talapoin_Monkey,300.0
454,Southern_Talapoin_Monkey,311.0
455,Coquerel_s_Giant_Mouse_Lemur,2.5
457,Northern_Giant_Mouse_Lemur,1.66
458,Proboscis_Monkey,900.0
460,Northern_Yellow_cheeked_Crested_Gibbon,50.0
462,Western_Black_Crested_Gibbon,87.0
463,Southern_Yellow_cheeked_Crested_Gibbon,51.86
464,Hainan_Crested_Gibbon,781.0
465,Northern_White_cheeked_Crested_Gibbon,87.5
468,Eastern_Black_Crested_Gibbon,130.3
469,Southern_White_cheeked_Crested_Gibbon,36.42
471,Bangka_Slow_Loris,
472,Bengal_Slow_Loris,15.6
473,Bornean_Slow_Loris,
474,Sunda_Slow_Loris,6.3
475,Javan_Slow_Loris,7.5
476,Kayan_River_Slow_Loris,
477,Philippine_Slow_Loris,4.76
478,Pygmy_Slow_Loris,17.0
480,Thick_tailed_Greater_Galago,8.5
482,Garnett_s_Greater_Galago,14.17
483,Bonobo,4000.0
484,Chimpanzee,1846.7
487,Olive_Baboon,1968.0
490,Yellow_Baboon,900.0
492,Hamadryas_Baboon,2800.0
494,Kinda_Baboon,
495,Guinea_Baboon,3250.0
496,Chacma_Baboon,500.0
503,Milne_Edwards_s_Potto,23.2
505,East_African_Potto,
506,West_African_Potto,7.5
507,Montagne_D__Ambre_Fork_marked_Lemur,
508,Masoala_Fork_marked_Lemur,1.0
510,Pale_Fork_marked_Lemur,6.5
511,Sambirano_Fork_marked_Lemur,
512,Upper_Guinea_Red_Colobus,58.0
514,Bouvier_s_Red_Colobus,
515,Niger_Delta_Red_Colobus,73.0
516,Foa_s_Red_Colobus,
517,Udzungwa_Red_Colobus,17.53
518,Zanzibar_Red_Colobus,19.0
519,Lang_s_Red_Colobus,
520,,
521,Oustalet_s_Red_Colobus,
522,Lomami_Red_Colobus,
523,Pennant_s_Red_Colobus,73.0
524,Preuss_s_Red_Colobus,100.0
525,Tana_River_Red_Colobus,14.25
526,Semliki_Red_Colobus,
527,Temminick_s_Red_Colobus,22.5
528,Ashy_Red_Colobus,308.5
531,Tshuapa_Red_Colobus,
532,Miss_Waldron_s_Red_Colobus,120.0
533,Equatorial_Saki,
534,Buffy_Saki,172.4
535,Cazuza_s_Saki,
536,Golden_faced_Saki,103.0
538,Hairy_Saki,24.9
539,Burnished_Saki,
540,Gray_s_Bald_faced_Saki,35.9
541,Isabel_s_Saki,
542,Miller_s_Saki,
543,Mittermeier_s_Tapajós_Saki,
544,Monk_Saki,25.85
545,Napo_Saki,
546,Pissinatti_s_Bald_faced_Saki,
547,White_faced_saki,12.5
552,Rylands__Bald_faced_Saki,35.9
553,Vanzolinis_Bald_faced_Saki,
554,Madidi_Titi,21.0
556,Lake_Baptista_Titi,
557,Prince_Bernhard_s_Titi,
558,Brown_Titi,3.9
559,Chestnut_bellied_Titi,
560,Caquetá_Titi,
561,Ashy_Titi,
562,Coppery_Titi,25.0
563,Red_crowned_Titi,3.3
564,White_eared_Titi,100.0
566,Hoffmann_s_Titi,
567,Milton´s_titi_monkey,
568,Rio_Beni_Titi,
569,Red_bellied_Titi,4.2
571,San_Martín_Titi,2.3
572,Olalla_s_Titi,10.0
573,Ornate_Titi,15.93
577,Pale_Titi,20.0
578,Stephen_Nash_s_Titi,
579,Toppins_Titi,4.7
580,Urubamba_Brown_Titi,
581,Vieira_s_Titi,
582,Sumatran_Orangutan,277.0
583,Bornean_Orangutan,409.5
586,Tapanuli_Orangutan,
587,Black_and_white_Langur,
588,Miller_s_Langur,
589,Cross_marked_Langur,
590,Javan_Langur,26.0
591,Banded_Langur,24.85
592,White_fronted_Langur,200.0
593,Hose_s_Langur,40.0
594,Black_crested_Sumatran_Langur,22.0
595,Mitered_Langur,21.75
596,Natuna_Islands_Langur,
597,Mentawai_Langur,25.25
598,Maroon_Langur,66.0
600,Sabah_Grizzled_Langur,90.9
601,Pale_thighed_Langur,24.0
602,Siberut_Langur,16.75
603,Black_Sumatran_Langur,
604,Thomas_s_Langur,27.43
606,Olive_Colobus,31.0
608,Greater_Bamboo_Lemur,40.37
610,Silky_Sifaka,38.85
611,Coquerel_s_Sifaka,7.625
612,Crowned_Sifaka,1.35
613,Decken_s_Sifaka,
614,Diademed_Sifaka,37.5
616,Milne_Edwards_s_Sifaka,145.0
618,Perrier_s_Sifaka,30.0
620,Tattersall_s_Sifaka,10.5
622,Verreaux_s_Sifaka,7.0
625,Grey_shanked_Douc,984.0
626,Red_shanked_Douc,36.0
628,Black_shanked_Douc,30.0
630,Tonkin_Snub_nosed_Monkey,470.0
632,Yunnan_Snub_nosed_Monkey,2525.0
636,Guizhou_Snub_nosed_Monkey,3450.0
637,Golden_Snub_nosed_Monkey,1830.0
638,Stryker_s_Snub_nosed_Monkey,2290.0
640,Kipunji,306.2
641,Pied_Tamarin,12.0
643,Geoffroy_s_Tamarin,34.5
644,Emperor_Tamarin,30.0
645,Mottled_face_Tamarin,35.0
646,Red_bellied_Tamarin,30.0
648,White_footed_Tamarin,9.22
650,Martin_s_Bare_faced_Tamarin,12.0
651,Midas_Tamarin,36.5
653,Mustached_Tamarin,40.0
656,Western_Black_handed_Tamarin,32.5
658,Cotton_top_Tamarin,13.9
660,Eastern_Black_handed_Tamarin,
661,Black_capped_Squirrel_Monkey,375.0
662,Humboldt_s_Squirrel_Monkey,170.0
663,Collins'_Squirrel_Monkey,
664,Ecuadorian_Squirrel_Monkey,
665,Central_American_Squirrel_Monkey,176.0
667,Guianan_Squirrel_Monkey,87.0
669,Golden_backed_Squirrel_Monkey,50.0
670,Black_headed_Squirrel_Monkey,80.0
671,Guianan_Brown_Capuchin,355.0
672,Hooded_Capuchin,
673,Blond_Capuchin,51.0
675,Bearded_Capuchin,300.0
676,Large_headed_Capuchin,65.0
677,Black_horned_Capuchin,161.0
679,Crested_Capuchin,110.5
680,Yellow_breasted_Capuchin,969.0
682,Bioko_Squirrel_Galago,2.35
683,Cross_River_Squirrel_Galago,3.2
685,Gabon_Squirrel_Galago,30.0
687,Makandé_squirrel_galago,
688,Chamba_Sacred_Langur,305.0
690,Bengal_Sacred_Langur,82.5
692,Terai_Sacred_Langur,
693,Malabar_Sacred_Langur,12328.0
694,Nilgiri_Langur,4.83
696,Tufted_Gray_Langur,80.0
697,Nepal_Sacred_Langur,6987.0
699,Purple_faced_Langur,5.375
700,Pig_tailed_Langur,7.1
701,Siamang,17.3
702,Dian_s_Tarsier,1.39
703,Makassar_Tarsier,
704,Lariang_Tarsier,
705,Peleng_Tarsier,1.0
706,Sulawesi_Mountain_Tarsier,1.2
708,Great_Sangihe_Tarsier,
709,Gursky's_Spectral_Tarsier ,
710,Jatna's_Tarsier,
711,Selayar_Tarsier,1.0
713,Siau_Island_Tarsier,
714,Wallace_s_Tarsier,
715,Gelada,203.43
716,East_Javan_Langur,19.0
719,Tenasserim_Langur,
720,Indochinese_Gray_Langur,83.55
723,Silvered_Langur,43.0
724,Delacour_s_Langur,36.0
725,Black_Langur,
726,Francois_s_Langur,64.5
729,Golden_Langur,375.0
731,Germain_s_Langur,17.0
732,Hatinh_Langur,225.0
733,Laos_Langur,
734,White_headed_Langur,29.1
735,Annamese_Langur,221.0
736,West_Javan_Langur,5.25
737,Dusky_Langur,30.5
738,Phayre_s_Langur,82.37
739,Capped_Langur,18.0
740,Cat_Ba_Langur,30.0
742,Selangor_Silvery_Langur,31.5
743,Shortridge_s_Langur,
744,Red_Ruffed_Lemur,24.55
746,Black_and_white_Ruffed_Lemur,116.67
