,Scientific Names,CommonName,Region,Country,Average_Weight,DielActivity,Locomotion,Status,HomeRange_ha,Habitat_Forest,Habitat_Savanna,Habitat_Shrubland,Habitat_Grassland,Habitat_Wetlands,Habitat_Rocky areas,Habitat_Desert,TrophicGuild,Fruit,Leaves,Flowers,Seeds,Gums,Nectar,Animal,Insects,Other
62,Hominidae Pan,Chimpanzee,North West Africa,Guinea,53.7,D,BOTH,3,1846.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
63,Atelidae Alouatta,Colombian Red Howler,South America,Colombia,5.92,D,AR,0,22.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
64,Cebidae Cebus,Colombian White faced Capuchin,South America,Brazil,3.11,D,AR,0,59.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Callitrichidae Callithrix,Common Marmoset,South America,Brazil,0.32,D,AR,0,2.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Gummivore,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
66,Pitheciidae Plecturocebus,Coppery Titi,South America,Peru,1.07,D,AR,0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
67,Cheirogaleidae Mirza,Coquerel s Giant Mouse Lemur,Madagascar,Madagascar,0.31,N,AR,3,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Indriidae Propithecus,Coquerel s Sifaka,Madagascar,Madagascar,3.73,D,AR,3,7.625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Callitrichidae Saguinus,Cotton top Tamarin,South America,Brazil,0.41,D,AR,4,13.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Cebidae Sapajus,Crested Capuchin,South America,Brazil,3.05,D,AR,3,110.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
71,Cercopithecidae Macaca,Crested Macaque,South East Asia,Indonesia,7.68,D,T,4,216.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
72,Galagidae Sciurocheirus,Cross River Squirrel Galago,North West Africa,Cameroon,0.27,N,AR,0,3.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Insectivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
73,Lemuridae Eulemur,Crowned Lemur,Madagascar,Madagascar,1.65,CA,AR,3,7.53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Cercopithecidae Cercopithecus,Crowned Monkey,North West Africa,CÃ´te dÂIvoire,3.58,D,AR,2,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Indriidae Propithecus,Crowned Sifaka,Madagascar,Madagascar,3.9,D,AR,3,1.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Cercopithecidae Cercopithecus,De Brazza s Monkey,North West Africa,Benine,5.74,D,BOTH,0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Cercopithecidae Trachypithecus,Delacour s Langur,South East Asia,Vietnam,7.75,D,BOTH & AR,4,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Galagidae Galagoides,Demidoff s Dwarf Galago,East Africa,Kenya,0.06,N,AR,0,1.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Indriidae Propithecus,Diademed Sifaka,Madagascar,Madagascar,6.13,D,AR,4,37.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
80,Tarsiidae Tarsius,Dian s Tarsier,South East Asia,Indonesia,0.11199999999999999,N,AR,2,1.39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Insectivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
