,CommonName,Status
289,Madame_Berthe_s_Mouse_Lemur,EN
290,Bongolava_Mouse_Lemur,EN
291, Nosy_Boraha_Mouse_Lemur,Unrated
292,Ambarijeby_Mouse_Lemur,EN
293,Ganzhorn's_Mouse_Lemur,Unrated
294,Gerp_s_Mouse_Lemur,CR
295,Gray_brown_Mouse_Lemur,LC
296,Jolly_s_Mouse_Lemur,EN
297,Goodman_s_Mouse_Lemur,VU
298,Anjiahely_Mouse_Lemur,EN
299,Nosy_Be_Mouse_Lemur,CR
300,Bemanasy_Mouse_Lemur,Unrated
301,Margot_Marsh_s_Mouse_Lemur,EN
302,Marohita_Mouse_Lemur,CR
303,Mittermeier_s_Mouse_Lemur,EN
304,Gray_Mouse_Lemur,LC
305,Peters_s_Mouse_Lemur,VU
306,Golden_brown_Mouse_Lemur,EN
307,Rufous_Mouse_Lemur,VU
308,Sambirano_Mouse_Lemur,EN
309,Simmons_s_Mouse_Lemur,EN
310,Anosi_Mouse_lemur,NE
311,Tavaratra_Mouse_Lemur,VU
312,Northern_Talapoin_Monkey,LC
313,Southern_Talapoin_Monkey,LC
314,Coquerel_s_Giant_Mouse_Lemur,EN
315,Northern_Giant_Mouse_Lemur,EN
316,Proboscis_Monkey,EN
317,Northern_Yellow_cheeked_Crested_Gibbon,NE
318,Western_Black_Crested_Gibbon,CR
319,Southern_Yellow_cheeked_Crested_Gibbon,EN
320,Hainan_Crested_Gibbon,CR
321,Northern_White_cheeked_Crested_Gibbon,CR
322,Eastern_Black_Crested_Gibbon,CR
323,Southern_White_cheeked_Crested_Gibbon,EN
324,Bangka_Slow_Loris,NE
325,Bengal_Slow_Loris,VU
326,Bornean_Slow_Loris,NE
327,Sunda_Slow_Loris,VU
328,Javan_Slow_Loris,CR
329,Kayan_River_Slow_Loris,NE
330,Philippine_Slow_Loris,VU
331,Pygmy_Slow_Loris,VU
332,Thick_tailed_Greater_Galago,LC
333,Garnett_s_Greater_Galago,LC
334,Bonobo,EN
335,Chimpanzee,EN
336,Olive_Baboon,LC
337,Yellow_Baboon,LC
338,Hamadryas_Baboon,LC
339,Kinda_Baboon,LC
340,Guinea_Baboon,NT
341,Chacma_Baboon,LC
347,Milne_Edwards_s_Potto,LC
348,East_African_Potto,LC
349,West_African_Potto,LC
350,Montagne_D__Ambre_Fork_marked_Lemur,EN
351,Masoala_Fork_marked_Lemur,VU
352,Pale_Fork_marked_Lemur,EN
353,Sambirano_Fork_marked_Lemur,EN
354,Upper_Guinea_Red_Colobus,EN
355,Bouvier_s_Red_Colobus,CR
356,Niger_Delta_Red_Colobus,CR
357,Foa_s_Red_Colobus,NE
358,Udzungwa_Red_Colobus,EN
359,Zanzibar_Red_Colobus,EN
360,Lang_s_Red_Colobus,NE
362,Oustalet_s_Red_Colobus,LC
363,Lomami_Red_Colobus,NE
364,Pennant_s_Red_Colobus,EN
365,Preuss_s_Red_Colobus,CR
366,Tana_River_Red_Colobus,EN
367,Semliki_Red_Colobus,NE
368,Temminick_s_Red_Colobus,EN
369,Ashy_Red_Colobus,EN
370,Tshuapa_Red_Colobus,NT
371,Miss_Waldron_s_Red_Colobus,CR
372,Equatorial_Saki,LC
373,Buffy_Saki,LC
374,Cazuza_s_Saki,NE
375,Golden_faced_Saki,LC
376,Hairy_Saki,NE
377,Burnished_Saki,NE
378,Gray_s_Bald_faced_Saki,LC
379,Isabel_s_Saki,NE
380,Miller_s_Saki,DD
381,Mittermeier_s_TapajÃ³s_Saki,NE
382,Monk_Saki,LC
383,Napo_Saki,NE
384,Pissinatti_s_Bald_faced_Saki,NE
385,White_faced_saki,LC
386,Rylands__Bald_faced_Saki,NE
387,VanzoliniÂs_Bald_faced_Saki,DD
388,Madidi_Titi,LC
389,Lake_Baptista_Titi,LC
390,Prince_Bernhard_s_Titi,LC
391,Brown_Titi,LC
392,Chestnut_bellied_Titi,LC
393,CaquetÃ¡_Titi,CR
394,Ashy_Titi,LC
395,Coppery_Titi,LC
396,Red_crowned_Titi,LC
397,White_eared_Titi,LC
398,Hoffmann_s_Titi,LC
399,MiltonÂ´s_titi_monkey,NE
400,Rio_Beni_Titi,EN
401,Red_bellied_Titi,LC
402,San_MartÃ­n_Titi,CR
403,Olalla_s_Titi,EN
404,Ornate_Titi,VU
405,Pale_Titi,LC
406,Stephen_Nash_s_Titi,DD
407,ToppinÂs_Titi,NE
408,Urubamba_Brown_Titi,NE
409,Vieira_s_Titi,NE
410,Sumatran_Orangutan,CR
411,Bornean_Orangutan,CR
412,Tapanuli_Orangutan,CR
413,Black_and_white_Langur,DD
414,Miller_s_Langur,EN
415,Cross_marked_Langur,CR
416,Javan_Langur,EN
417,Banded_Langur,NT
418,White_fronted_Langur,VU
419,Hose_s_Langur,VU
420,Black_crested_Sumatran_Langur,EN
421,Mitered_Langur,EN
422,Natuna_Islands_Langur,VU
423,Mentawai_Langur,EN
424,Maroon_Langur,LC
425,Sabah_Grizzled_Langur,EN
426,Pale_thighed_Langur,NT
427,Siberut_Langur,EN
428,Black_Sumatran_Langur,EN
429,Thomas_s_Langur,VU
430,Olive_Colobus,NT
431,Greater_Bamboo_Lemur,CR
432,Silky_Sifaka,CR
433,Coquerel_s_Sifaka,EN
434,Crowned_Sifaka,EN
435,Decken_s_Sifaka,EN
436,Diademed_Sifaka,CR
437,Milne_Edwards_s_Sifaka,EN
438,Perrier_s_Sifaka,CR
439,Tattersall_s_Sifaka,CR
440,Verreaux_s_Sifaka,EN
441,Grey_shanked_Douc,CR
442,Red_shanked_Douc,EN
443,Black_shanked_Douc,EN
444,Tonkin_Snub_nosed_Monkey,CR
445,Yunnan_Snub_nosed_Monkey,EN
446,Guizhou_Snub_nosed_Monkey,EN
447,Golden_Snub_nosed_Monkey,EN
448,Stryker_s_Snub_nosed_Monkey,CR
449,Kipunji,CR
450,Pied_Tamarin,EN
451,Geoffroy_s_Tamarin,LC
452,Emperor_Tamarin,LC
453,Mottled_face_Tamarin,LC
454,Red_bellied_Tamarin,LC
455,White_footed_Tamarin,EN
456,Martin_s_Bare_faced_Tamarin,LC
457,Midas_Tamarin,LC
458,Mustached_Tamarin,LC
459,Western_Black_handed_Tamarin,VU
460,Cotton_top_Tamarin,CR
461,Eastern_Black_handed_Tamarin,NE
462,Black_capped_Squirrel_Monkey,LC
463,Humboldt_s_Squirrel_Monkey,LC
464,Collins'_Squirrel_Monkey,Unrated
465,Ecuadorian_Squirrel_Monkey,LC
466,Central_American_Squirrel_Monkey,VU
467,Guianan_Squirrel_Monkey,LC
468,Golden_backed_Squirrel_Monkey,NT
469,Black_headed_Squirrel_Monkey,VU
470,Guianan_Brown_Capuchin,LC
471,Hooded_Capuchin,LC
472,Blond_Capuchin,CR
473,Bearded_Capuchin,LC
474,Large_headed_Capuchin,LC
475,Black_horned_Capuchin,NT
476,Crested_Capuchin,EN
477,Yellow_breasted_Capuchin,CR
478,Bioko_Squirrel_Galago,EN
479,Cross_River_Squirrel_Galago,LC
480,Gabon_Squirrel_Galago,LC
481,MakandÃ©_squirrel_galago,NE
482,Chamba_Sacred_Langur,EN
483,Bengal_Sacred_Langur,LC
484,Terai_Sacred_Langur,NT
485,Malabar_Sacred_Langur,VU
486,Nilgiri_Langur,VU
487,Tufted_Gray_Langur,NT
488,Nepal_Sacred_Langur,LC
489,Purple_faced_Langur,EN
490,Pig_tailed_Langur,CR
491,Siamang,EN
492,Dian_s_Tarsier,VU
493,Makassar_Tarsier,NE
494,Lariang_Tarsier,DD
495,Peleng_Tarsier,EN
496,Sulawesi_Mountain_Tarsier,DD
497,Great_Sangihe_Tarsier,EN
498,Gursky's_Spectral_Tarsier ,Unrated
499,Jatna's_Tarsier,Unrated
500,Selayar_Tarsier,VU
501,Siau_Island_Tarsier,CR
502,Wallace_s_Tarsier,DD
503,Gelada,LC
504,East_Javan_Langur,VU
505,Tenasserim_Langur,DD
506,Indochinese_Gray_Langur,EN
507,Silvered_Langur,NT
508,Delacour_s_Langur,CR
509,Black_Langur,EN
510,Francois_s_Langur,EN
511,Golden_Langur,EN
512,Germain_s_Langur,EN
513,Hatinh_Langur,EN
514,Laos_Langur,VU
515,White_headed_Langur,CR
516,Annamese_Langur,EN
517,West_Javan_Langur,VU
518,Dusky_Langur,NT
519,Phayre_s_Langur,EN
520,Capped_Langur,VU
521,Cat_Ba_Langur,CR
522,Selangor_Silvery_Langur,NE
523,Shortridge_s_Langur,EN
524,Red_Ruffed_Lemur,CR
525,Black_and_white_Ruffed_Lemur,CR
