,CommonName,DielActivity
421,Black_crested_Sumatran_Langur,D
422,Mitered_Langur,D
423,Natuna_Islands_Langur,D
424,Mentawai_Langur,D
425,Maroon_Langur,D
426,Sabah_Grizzled_Langur,D
427,Pale_thighed_Langur,D
428,Siberut_Langur,D
429,Black_Sumatran_Langur,D
430,Thomas_s_Langur,D
431,Olive_Colobus,D
432,Greater_Bamboo_Lemur,CA
433,Silky_Sifaka,D
434,Coquerel_s_Sifaka,D
435,Crowned_Sifaka,D
436,Decken_s_Sifaka,D
437,Diademed_Sifaka,D
438,Milne_Edwards_s_Sifaka,D
439,Perrier_s_Sifaka,D
440,Tattersall_s_Sifaka,D
441,Verreaux_s_Sifaka,D
442,Grey_shanked_Douc,D
443,Red_shanked_Douc,D
444,Black_shanked_Douc,D
445,Tonkin_Snub_nosed_Monkey,D
446,Yunnan_Snub_nosed_Monkey,D
447,Guizhou_Snub_nosed_Monkey,D
448,Golden_Snub_nosed_Monkey,D
449,Stryker_s_Snub_nosed_Monkey,D
450,Kipunji,D
451,Pied_Tamarin,D
452,Geoffroy_s_Tamarin,D
453,Emperor_Tamarin,D
454,Mottled_face_Tamarin,D
455,Red_bellied_Tamarin,D
456,White_footed_Tamarin,D
457,Martin_s_Bare_faced_Tamarin,D
458,Midas_Tamarin,D
459,Mustached_Tamarin,D
460,Western_Black_handed_Tamarin,D
461,Cotton_top_Tamarin,D
462,Eastern_Black_handed_Tamarin,D
463,Black_capped_Squirrel_Monkey,D
464,Humboldt_s_Squirrel_Monkey,D
465,Collins'_Squirrel_Monkey,
466,Ecuadorian_Squirrel_Monkey,D
467,Central_American_Squirrel_Monkey,D
468,Guianan_Squirrel_Monkey,D
469,Golden_backed_Squirrel_Monkey,D
470,Black_headed_Squirrel_Monkey,D
471,Guianan_Brown_Capuchin,D
472,Hooded_Capuchin,D
473,Blond_Capuchin,D
474,Bearded_Capuchin,D
475,Large_headed_Capuchin,D
476,Black_horned_Capuchin,D
477,Crested_Capuchin,D
478,Yellow_breasted_Capuchin,D
479,Bioko_Squirrel_Galago,N
480,Cross_River_Squirrel_Galago,N
481,Gabon_Squirrel_Galago,N
482,Makandé_squirrel_galago,D
483,Chamba_Sacred_Langur,D
484,Bengal_Sacred_Langur,D
485,Terai_Sacred_Langur,D
486,Malabar_Sacred_Langur,D
487,Nilgiri_Langur,D
488,Tufted_Gray_Langur,D
489,Nepal_Sacred_Langur,D
490,Purple_faced_Langur,D
491,Pig_tailed_Langur,D
492,Siamang,D
493,Dian_s_Tarsier,N
494,Makassar_Tarsier,N
495,Lariang_Tarsier,N
496,Peleng_Tarsier,N
497,Sulawesi_Mountain_Tarsier,N
498,Great_Sangihe_Tarsier,N
499,Gursky's_Spectral_Tarsier ,
500,Jatna's_Tarsier,
501,Selayar_Tarsier,N
502,Siau_Island_Tarsier,N
503,Wallace_s_Tarsier,N
504,Gelada,D
505,East_Javan_Langur,D
506,Tenasserim_Langur,D
507,Indochinese_Gray_Langur,D
508,Silvered_Langur,D
509,Delacour_s_Langur,D
510,Black_Langur,D
511,Francois_s_Langur,D
512,Golden_Langur,D
513,Germain_s_Langur,D
514,Hatinh_Langur,D
515,Laos_Langur,D
516,White_headed_Langur,D
517,Annamese_Langur,D
518,West_Javan_Langur,D
519,Dusky_Langur,D
520,Phayre_s_Langur,D
521,Capped_Langur,D
522,Cat_Ba_Langur,D
523,Selangor_Silvery_Langur,D
524,Shortridge_s_Langur,D
525,Red_Ruffed_Lemur,D
526,Black_and_white_Ruffed_Lemur,D
