,CommonName,Average_Weight
398,Proboscis_Monkey,15.75
399,Northern_Yellow_cheeked_Crested_Gibbon,7.0
400,Western_Black_Crested_Gibbon,7.69
401,Southern_Yellow_cheeked_Crested_Gibbon,5.2
402,Hainan_Crested_Gibbon,6.59
403,Northern_White_cheeked_Crested_Gibbon,6.5
404,Eastern_Black_Crested_Gibbon,
405,Southern_White_cheeked_Crested_Gibbon,7.25
407,Bangka_Slow_Loris,
408,Bengal_Slow_Loris,1.26
409,Bornean_Slow_Loris,0.47
410,Sunda_Slow_Loris,0.65
411,Javan_Slow_Loris,0.66
413,Kayan_River_Slow_Loris,0.6
414,Philippine_Slow_Loris,0.285
415,Pygmy_Slow_Loris,0.42
416,Thick_tailed_Greater_Galago,1.15
417,Garnett_s_Greater_Galago,0.76
418,Bonobo,39.1
419,Chimpanzee,53.7
420,Olive_Baboon,16.65
421,Yellow_Baboon,17.05
422,Hamadryas_Baboon,13.4
423,Kinda_Baboon,13.0
424,Guinea_Baboon,17.5
425,Chacma_Baboon,22.3
431,Milne_Edwards_s_Potto,1.19
432,East_African_Potto,0.861
433,West_African_Potto,0.83
434,Montagne_D__Ambre_Fork_marked_Lemur,0.39
436,Masoala_Fork_marked_Lemur,0.34
438,Pale_Fork_marked_Lemur,0.34
439,Sambirano_Fork_marked_Lemur,0.36
440,Upper_Guinea_Red_Colobus,8.25
441,Bouvier_s_Red_Colobus,
442,Niger_Delta_Red_Colobus,
443,Foa_s_Red_Colobus,9.5
444,Udzungwa_Red_Colobus,7.05
445,Zanzibar_Red_Colobus,6.9
446,Lang_s_Red_Colobus,6.59
448,Oustalet_s_Red_Colobus,10.35
449,Lomami_Red_Colobus,8.3
450,Pennant_s_Red_Colobus,7.4
451,Preuss_s_Red_Colobus,8.3
452,Tana_River_Red_Colobus,9.0
453,Semliki_Red_Colobus,
454,Temminick_s_Red_Colobus,5.85
456,Ashy_Red_Colobus,8.75
457,Tshuapa_Red_Colobus,
458,Miss_Waldron_s_Red_Colobus,5.9
459,Equatorial_Saki,2.25
460,Buffy_Saki,3.0
461,Cazuza_s_Saki,
462,Golden_faced_Saki,1.9
463,Hairy_Saki,
464,Burnished_Saki,
465,Gray_s_Bald_faced_Saki,2.16
466,Isabel_s_Saki,
467,Miller_s_Saki,
468,Mittermeier_s_TapajÃ³s_Saki,
469,Monk_Saki,2.36
470,Napo_Saki,
471,Pissinatti_s_Bald_faced_Saki,
472,White_faced_saki,1.76
473,Rylands__Bald_faced_Saki,
474,VanzoliniÂs_Bald_faced_Saki,
475,Madidi_Titi,0.95
476,Lake_Baptista_Titi,1.16
477,Prince_Bernhard_s_Titi,0.95
478,Brown_Titi,0.83
479,Chestnut_bellied_Titi,1.0
480,CaquetÃ¡_Titi,
481,Ashy_Titi,0.74
482,Coppery_Titi,1.07
483,Red_crowned_Titi,1.01
484,White_eared_Titi,0.95
485,Hoffmann_s_Titi,1.06
486,MiltonÂ´s_titi_monkey,1.34
487,Rio_Beni_Titi,0.8
488,Red_bellied_Titi,0.99
489,San_MartÃ­n_Titi,0.8
490,Olalla_s_Titi,0.8
491,Ornate_Titi,1.17
492,Pale_Titi,0.8
493,Stephen_Nash_s_Titi,0.67
494,ToppinÂs_Titi,
495,Urubamba_Brown_Titi,
496,Vieira_s_Titi,0.96
497,Sumatran_Orangutan,56.75
498,Bornean_Orangutan,57.15
499,Tapanuli_Orangutan,
500,Black_and_white_Langur,6.43
501,Miller_s_Langur,6.125
502,Cross_marked_Langur,7.05
503,Javan_Langur,6.7
504,Banded_Langur,6.22
505,White_fronted_Langur,5.61
506,Hose_s_Langur,5.9
507,Black_crested_Sumatran_Langur,6.53
508,Mitered_Langur,5.8
509,Natuna_Islands_Langur,7.05
510,Mentawai_Langur,6.27
511,Maroon_Langur,6.13
512,Sabah_Grizzled_Langur,5.9
513,Pale_thighed_Langur,7.65
514,Siberut_Langur,6.45
515,Black_Sumatran_Langur,6.42
516,Thomas_s_Langur,6.73
517,Olive_Colobus,4.45
518,Greater_Bamboo_Lemur,2.24
520,Silky_Sifaka,6.1
522,Coquerel_s_Sifaka,3.73
524,Crowned_Sifaka,3.9
525,Decken_s_Sifaka,2.78
527,Diademed_Sifaka,6.13
529,Milne_Edwards_s_Sifaka,5.74
530,Perrier_s_Sifaka,4.33
532,Tattersall_s_Sifaka,3.5
534,Verreaux_s_Sifaka,2.91
537,Grey_shanked_Douc,9.98
538,Red_shanked_Douc,9.72
539,Black_shanked_Douc,9.88
540,Tonkin_Snub_nosed_Monkey,11.25
541,Yunnan_Snub_nosed_Monkey,12.48
542,Guizhou_Snub_nosed_Monkey,11.25
543,Golden_Snub_nosed_Monkey,14.75
544,Stryker_s_Snub_nosed_Monkey,11.25
545,Kipunji,10.0
546,Pied_Tamarin,0.43
547,Geoffroy_s_Tamarin,0.49
548,Emperor_Tamarin,0.47
549,Mottled_face_Tamarin,0.69
550,Red_bellied_Tamarin,0.51
551,White_footed_Tamarin,0.49
552,Martin_s_Bare_faced_Tamarin,0.5
553,Midas_Tamarin,0.56
554,Mustached_Tamarin,0.53
555,Western_Black_handed_Tamarin,0.43
557,Cotton_top_Tamarin,0.41
558,Eastern_Black_handed_Tamarin,
559,Black_capped_Squirrel_Monkey,0.88
560,Humboldt_s_Squirrel_Monkey,0.88
561,Collins'_Squirrel_Monkey,
562,Ecuadorian_Squirrel_Monkey,0.99
563,Central_American_Squirrel_Monkey,0.79
564,Guianan_Squirrel_Monkey,0.82
565,Golden_backed_Squirrel_Monkey,0.86
566,Black_headed_Squirrel_Monkey,0.8
567,Guianan_Brown_Capuchin,3.01
568,Hooded_Capuchin,3.25
569,Blond_Capuchin,2.55
571,Bearded_Capuchin,2.54
572,Large_headed_Capuchin,3.05
573,Black_horned_Capuchin,3.7
574,Crested_Capuchin,3.05
575,Yellow_breasted_Capuchin,2.875
576,Bioko_Squirrel_Galago,0.27
577,Cross_River_Squirrel_Galago,0.27
578,Gabon_Squirrel_Galago,0.26
579,MakandÃ©_squirrel_galago,
580,Chamba_Sacred_Langur,20.15
581,Bengal_Sacred_Langur,11.44
582,Terai_Sacred_Langur,15.3
583,Malabar_Sacred_Langur,13.1
584,Nilgiri_Langur,11.6
585,Tufted_Gray_Langur,
586,Nepal_Sacred_Langur,17.0
587,Purple_faced_Langur,7.03
588,Pig_tailed_Langur,7.97
589,Siamang,11.3
590,Dian_s_Tarsier,0.112
591,Makassar_Tarsier,0.12
592,Lariang_Tarsier,0.11
593,Peleng_Tarsier,0.16
594,Sulawesi_Mountain_Tarsier,0.051
595,Great_Sangihe_Tarsier,0.14300000000000002
596,Gursky's_Spectral_Tarsier ,
597,Jatna's_Tarsier,
598,Selayar_Tarsier,0.122
599,Siau_Island_Tarsier,0.1
600,Wallace_s_Tarsier,0.107
601,Gelada,15.35
602,East_Javan_Langur,
603,Tenasserim_Langur,6.4
604,Indochinese_Gray_Langur,6.65
605,Silvered_Langur,6.25
606,Delacour_s_Langur,7.75
608,Black_Langur,10.3
609,Francois_s_Langur,7.52
610,Golden_Langur,10.15
611,Germain_s_Langur,8.83
612,Hatinh_Langur,7.275
614,Laos_Langur,7.0
615,White_headed_Langur,8.285
616,Annamese_Langur,
617,West_Javan_Langur,
618,Dusky_Langur,6.99
619,Phayre_s_Langur,7.44
620,Capped_Langur,10.93
621,Cat_Ba_Langur,8.05
623,Selangor_Silvery_Langur,
624,Shortridge_s_Langur,
625,Red_Ruffed_Lemur,3.51
627,Black_and_white_Ruffed_Lemur,3.58
