,Family,Genus,CommonName,Habitat_Forest,Habitat_Savanna,Habitat_Shrubland,Habitat_Grassland,Habitat_Wetlands,Habitat_Rocky areas,Habitat_Desert
39,Indriidae,Avahi,Eastern_Woolly_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Indriidae,Avahi,Southern_Woolly_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Indriidae,Avahi,Masoala_Woolly_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Indriidae,Avahi,Western_Woolly_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Indriidae,Avahi,Peyrieras_s_Woolly_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Indriidae,Avahi,Manombo_Woolly_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Indriidae,Avahi,Sambirano_Woolly_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Atelidae,Brachyteles,Southern_Muriqui,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Atelidae,Brachyteles,Northern_Muriqui,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Pitheciidae,Cacajao,Ayres_Black_Uakari,,,,,,,
49,Pitheciidae,Cacajao,Bald_Uacari,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Pitheciidae,Cacajao,Black_headed_Uacari,,,,,,,
51,Pitheciidae,Cacajao,Black_headed_Uacari,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Pitheciidae,Cacajao,Spix_s_Black_headed_Uacari,1.0,0.0,1.0,0.0,0.0,0.0,0.0
53,Callitrichidae,Callibella,Black_crowned_Dwarf_Marmoset,1.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Pitheciidae,Callicebus,Blond_Titi,0.0,1.0,1.0,0.0,0.0,0.0,0.0
55,Pitheciidae,Callicebus,Coimbra_Filho_s_Titi,1.0,1.0,0.0,0.0,0.0,0.0,0.0
56,Pitheciidae,Callicebus,Southern_Bahian_Titi,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Pitheciidae,Callicebus,Black_fronted_Titi,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Pitheciidae,Callicebus,Masked_Titi,1.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Callitrichidae,Callimico,Goeldi_s_Monkey*,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Callitrichidae,Callithrix,Buffy_tufted_ear_Marmoset,1.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Callitrichidae,Callithrix,Buffy_headed_Marmoset,1.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Callitrichidae,Callithrix,Geoffroy_s_Tufted_ear_Marmoset,1.0,1.0,0.0,0.0,0.0,0.0,0.0
63,Callitrichidae,Callithrix,Common_Marmoset,1.0,1.0,0.0,0.0,0.0,0.0,0.0
64,Callitrichidae,Callithrix,Wied_s_Black_tufted_ear_Marmoset,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Callitrichidae,Callithrix,Black_tufted_ear_Marmoset,1.0,1.0,0.0,0.0,0.0,0.0,0.0
66,Tarsiidae,Carlito,Philippine_Tarsier,1.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Callitrichidae,Cebuella,Eastern_Pygmy_Marmoset,,,,,,,
68,Callitrichidae,Cebuella,Pygmy_Marmoset,1.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Cebidae,Cebus,Ecuadorian_White_fronted_Capuchin,1.0,0.0,1.0,0.0,0.0,0.0,0.0
70,Cebidae,Cebus,Humboldt_s_White_fronted_Capuchin,1.0,0.0,0.0,0.0,1.0,0.0,0.0
71,Cebidae,Cebus,Venezuelan_Brown_Capuchin,1.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Cebidae,Cebus,Colombian_White_faced_Capuchin,1.0,0.0,0.0,0.0,1.0,0.0,0.0
73,Cebidae,Cebus,Río_Cesar_White_fronted_Capuchin,1.0,0.0,0.0,0.0,1.0,0.0,0.0
74,Cebidae,Cebus,Shock_headed_Capuchin,1.0,0.0,0.0,0.0,1.0,0.0,0.0
75,Cebidae,Cebus,Panamanian_White_faced_Capuchin,1.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Cebidae,Cebus,Ka_apor_Capuchin,1.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Cebidae,Cebus,Sierra_de_Perijá_White_fronted_Capuchin,1.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Cebidae,Cebus,Santa_Marta_White_fronted_Capuchin,1.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Cebidae,Cebus,Guianan_Weeper_Capuchin,1.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Cebidae,Cebus,Spix_s_White_fronted_Capuchin,1.0,0.0,0.0,0.0,1.0,0.0,0.0
81,Cebidae,Cebus,Varied_White_fronted_Capuchin,1.0,0.0,0.0,0.0,1.0,0.0,0.0
82,Cebidae,Cebus,Marañón_White_fronted_Capuchin,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Tarsiidae,Cephalopachus,Western_Tarsier,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Cercopithecidae,Cercocebus,Agile_Mangabey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Cercopithecidae,Cercocebus,Sooty_Mangabey,1.0,1.0,0.0,0.0,0.0,0.0,0.0
86,Cercopithecidae,Cercocebus,Golden_bellied_Mangabey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Cercopithecidae,Cercocebus,Tana_River_Mangabey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Cercopithecidae,Cercocebus,White_naped_Mangabey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Cercopithecidae,Cercocebus,Sanje_River_Mangabey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Cercopithecidae,Cercocebus,Red_capped_Mangabey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Cercopithecidae,Cercopithecus,Syke_s_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Cercopithecidae,Cercopithecus,Red_tailed_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Cercopithecidae,Cercopithecus,Campbell_s_Monkey,1.0,1.0,0.0,0.0,0.0,0.0,0.0
94,Cercopithecidae,Cercopithecus,Moustached_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Cercopithecidae,Cercopithecus,Dent_s_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Cercopithecidae,Cercopithecus,Diana_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Cercopithecidae,Cercopithecus,Silver_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Cercopithecidae,Cercopithecus,Dryas_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Cercopithecidae,Cercopithecus,Red_bellied_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Cercopithecidae,Cercopithecus,Red_eared_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Cercopithecidae,Cercopithecus,Owl_faced_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Cercopithecidae,Cercopithecus,Virungas_Golden_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Cercopithecidae,Cercopithecus,Lesula,1.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Cercopithecidae,Cercopithecus,Lowe_s_Monkey,1.0,1.0,0.0,0.0,0.0,0.0,0.0
105,Cercopithecidae,Cercopithecus,Blue_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Cercopithecidae,Cercopithecus,Mona_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Cercopithecidae,Cercopithecus,De_Brazza_s_Monkey,1.0,0.0,0.0,0.0,1.0,0.0,0.0
108,Cercopithecidae,Cercopithecus,Putty_nosed_Monkey,1.0,0.0,0.0,0.0,1.0,0.0,0.0
109,Cercopithecidae,Cercopithecus,Spot_nosed_Monkey,1.0,0.0,1.0,0.0,0.0,0.0,0.0
110,Cercopithecidae,Cercopithecus,Crowned_Monkey,1.0,1.0,0.0,0.0,0.0,0.0,0.0
111,Cercopithecidae,Cercopithecus,Roloway_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Cercopithecidae,Cercopithecus,Sclater_s_Monkey,1.0,0.0,1.0,0.0,0.0,0.0,0.0
113,Cercopithecidae,Cercopithecus,Wolf_s_Monkey,1.0,1.0,0.0,0.0,1.0,0.0,0.0
114,Cheirogaleidae,Cheirogaleus,Montagne_d_Ambre_Dwarf_Lemur,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Cheirogaleidae,Cheirogaleus,Crossley_s_Dwarf_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Cheirogaleidae,Cheirogaleus,Lavasoa_Dwarf_lemur,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Cheirogaleidae,Cheirogaleus,Greater_Dwarf_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Cheirogaleidae,Cheirogaleus,Fat_tailed_Dwarf_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
119,Cheirogaleidae,Cheirogaleus,Lesser_Iron_gray_Dwarf_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
120,Cheirogaleidae,Cheirogaleus, Sheth's_Dwarf_Lemur,,,,,,,
121,Cheirogaleidae,Cheirogaleus,Sibree_s_Dwarf_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
122,Cheirogaleidae,Cheirogaleus,Thomas_s_Dwarf_Lemur,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,Pitheciidae,Cheracebus,Yellow_handed_Titi,1.0,0.0,0.0,0.0,1.0,0.0,0.0
124,Pitheciidae,Cheracebus,White_chested_Titi,1.0,0.0,0.0,0.0,0.0,0.0,0.0
125,Pitheciidae,Cheracebus,Medem_s_Titi,1.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Pitheciidae,Cheracebus,Rio_Purus_Titi,1.0,0.0,0.0,0.0,0.0,0.0,0.0
127,Pitheciidae,Cheracebus,Rio_Juruá_Collared_Titi,1.0,0.0,0.0,0.0,0.0,0.0,0.0
128,Pitheciidae,Cheracebus,White_collared_Titi,1.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Pitheciidae,Chiropotes,White_nosed_Bearded_Saki,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130,Pitheciidae,Chiropotes,Rio_Negro_Beared_Saki,1.0,0.0,0.0,0.0,0.0,0.0,0.0
131,Pitheciidae,Chiropotes, Brown_backed_Bearded_Saki,,,,,,,
132,Pitheciidae,Chiropotes,Guianan_Beared_Saki,1.0,1.0,0.0,0.0,0.0,0.0,0.0
133,Pitheciidae,Chiropotes,Black_Bearded_Saki,1.0,0.0,0.0,0.0,0.0,0.0,0.0
134,Pitheciidae,Chiropotes,Uta_Hick_s_Bearded_Saki,1.0,0.0,0.0,0.0,0.0,0.0,0.0
135,Cercopithecidae,Chlorocebus,Grivet_Monkey,0.0,1.0,1.0,0.0,0.0,0.0,0.0
136,Cercopithecidae,Chlorocebus,Malbrouck_Monkey,1.0,1.0,0.0,0.0,0.0,0.0,0.0
137,Cercopithecidae,Chlorocebus,Bale_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
138,Cercopithecidae,Chlorocebus,Vervet_Monkey,1.0,1.0,1.0,0.0,0.0,0.0,0.0
139,Cercopithecidae,Chlorocebus,Green_Monkey,1.0,1.0,0.0,0.0,0.0,0.0,0.0
140,Cercopithecidae,Chlorocebus,Tantalus_Monkey,1.0,1.0,0.0,0.0,0.0,0.0,0.0
141,Cercopithecidae,Colobus,Angolan_Colobus,1.0,0.0,0.0,0.0,0.0,0.0,0.0
142,Cercopithecidae,Colobus,Guereza,1.0,0.0,0.0,0.0,0.0,0.0,0.0
143,Cercopithecidae,Colobus,King_Colobus,1.0,0.0,0.0,0.0,0.0,0.0,0.0
144,Cercopithecidae,Colobus,Black_Colobus,1.0,0.0,0.0,0.0,0.0,0.0,0.0
145,Cercopithecidae,Colobus,White_thighed_Colobus,1.0,1.0,0.0,0.0,0.0,0.0,0.0
146,Daubentoniidae,Daubentonia,Aye_aye,1.0,0.0,1.0,0.0,0.0,0.0,0.0
147,Cercopithecidae,Erythrocebus,Patas_Monkey,1.0,1.0,1.0,1.0,0.0,0.0,0.0
148,Cercopithecidae,Erythrocebus,Heuglin's_Patas_Monkey,,,,,,,
149,Lemuridae,Eulemur,White_fronted_Brown_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
150,Lemuridae,Eulemur,White_collared_Brown_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
151,Lemuridae,Eulemur,Red_collared_Brown_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
152,Lemuridae,Eulemur,Crowned_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
153,Lemuridae,Eulemur,Blue_eyed_Black_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
154,Lemuridae,Eulemur,Brown_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
155,Lemuridae,Eulemur,Black_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
156,Lemuridae,Eulemur,Mongoose_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
157,Lemuridae,Eulemur,Red_bellied_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Lemuridae,Eulemur,Red_fronted_Brown_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
159,Lemuridae,Eulemur,Rufous_Brown_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
160,Lemuridae,Eulemur,Sanford_s_Brown_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
161,Galagidae,Euoticus,Southern_Needle_clawed_Galago,1.0,0.0,0.0,0.0,0.0,0.0,0.0
162,Galagidae,Euoticus,Northern_Needle_clawed_Galago,1.0,0.0,0.0,0.0,0.0,0.0,0.0
163,Galagidae,Galago,Somali_Lesser_Galago,0.0,1.0,0.0,0.0,0.0,0.0,0.0
164,Galagidae,Galago,Spectacled_Lesser_Galago,1.0,0.0,0.0,0.0,0.0,0.0,0.0
165,Galagidae,Galago,Southern_Lesser_Galago,0.0,1.0,0.0,0.0,0.0,0.0,0.0
166,Galagidae,Galago,Northern_Lesser_Galago,1.0,1.0,0.0,0.0,0.0,0.0,0.0
167,Galagidae,Galagoides,Kenya_Coast_Dwarf_Galago,1.0,0.0,0.0,0.0,0.0,0.0,0.0
168,Galagidae,Galagoides,Demidoff_s_Dwarf_Galago,1.0,0.0,0.0,0.0,0.0,0.0,0.0
169,Galagidae,Galagoides,Mozambique_Dwarf_Galago,1.0,0.0,0.0,0.0,0.0,0.0,0.0
170,Galagidae,Galagoides,Mountain_Dwarf_Galago,1.0,0.0,0.0,0.0,0.0,0.0,0.0
171,Galagidae,Galagoides,Rondo_Dwarf_Galago,1.0,0.0,0.0,0.0,0.0,0.0,0.0
172,Galagidae,Galagoides,Angolan_Dwarf_Galago,,,,,,,
173,Galagidae,Galagoides,Thomas_s_Dwarf_Galago,1.0,0.0,0.0,0.0,0.0,0.0,0.0
174,Galagidae,Galagoides,Tanzania_Coast_Dwarf_Galago,1.0,0.0,0.0,0.0,0.0,0.0,0.0
175,Hominidae,Gorilla,Eastern_Gorilla,1.0,0.0,0.0,0.0,0.0,0.0,0.0
176,Hominidae,Gorilla,Western_Gorilla,1.0,0.0,0.0,0.0,0.0,0.0,0.0
177,Lemuridae,Hapalemur,Lac_Alaotra_Bamboo_Lemur,0.0,0.0,0.0,0.0,1.0,0.0,0.0
178,Lemuridae,Hapalemur,Golden_Bamboo_Lemur,1.0,0.0,0.0,0.0,1.0,0.0,0.0
179,Lemuridae,Hapalemur,Gray_Bamboo_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
180,Lemuridae,Hapalemur,Southern_Bamboo_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
181,Lemuridae,Hapalemur,Northern_Bamboo_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
182,Hylobatidae,Hoolock,Western_Hoolock_Gibbon,1.0,0.0,0.0,0.0,0.0,0.0,0.0
183,Hylobatidae,Hoolock,Eastern_Hoolock_Gibbon,1.0,0.0,0.0,0.0,0.0,0.0,0.0
184,Hylobatidae,Hoolock,Skywalker_Hoolock_Gibbon,,,,,,,
185,Hylobatidae,Hylobates,Abbott_s_Gray_Gibbon,1.0,0.0,0.0,0.0,0.0,0.0,0.0
186,Hylobatidae,Hylobates,Agile_Gibbon,1.0,0.0,0.0,0.0,0.0,0.0,0.0
187,Hylobatidae,Hylobates,Bornean_White_bearded_Gibbon,1.0,0.0,0.0,0.0,0.0,0.0,0.0
188,Hylobatidae,Hylobates,East_Bornean_Gray_Gibbon,1.0,0.0,0.0,0.0,0.0,0.0,0.0
189,Hylobatidae,Hylobates,Kloss_s_Gibbon,1.0,0.0,0.0,0.0,0.0,0.0,0.0
190,Hylobatidae,Hylobates,Lar_Gibbon,1.0,0.0,0.0,0.0,0.0,0.0,0.0
191,Hylobatidae,Hylobates,Moloch_Gibbon,1.0,0.0,0.0,0.0,0.0,0.0,0.0
192,Hylobatidae,Hylobates,Müller_s_Gibbon,1.0,0.0,0.0,0.0,0.0,0.0,0.0
193,Hylobatidae,Hylobates,Pileated_Gibbon,1.0,0.0,0.0,0.0,0.0,0.0,0.0
194,Indriidae,Indri,Indri,1.0,0.0,0.0,0.0,0.0,0.0,0.0
195,Atelidae,Lagothrix,Gray_Woolly_Monkey,1.0,1.0,0.0,0.0,0.0,0.0,0.0
196,Atelidae,Lagothrix,Peruvian_Yellow_tailed_Woolly_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
197,Atelidae,Lagothrix,Humboldt_s_Woolly_Monkey,1.0,1.0,0.0,0.0,0.0,0.0,0.0
198,Atelidae,Lagotrix,Colombian_Woolly_Monkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,Atelidae,Lagothrix,Poeppig_s_Woolly_Monkey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
200,Lemuridae,Lemur,Ring_tailed_Lemur,1.0,0.0,1.0,0.0,0.0,0.0,0.0
201,Callitrichidae,Leontocebus,Cruz_Limas_Saddle_back_Tamarin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,Callitrichidae,Leontocebus,Spix_s_Saddle_back_Tamarin,1.0,0.0,0.0,0.0,1.0,0.0,0.0
203,Callitrichidae,Leontocebus,Lesson_s_Saddle_back_Tamarin,1.0,0.0,0.0,0.0,0.0,0.0,0.0
204,Callitrichidae,Leontocebus,Illiger_s_Saddle_back_Tamarin,1.0,0.0,0.0,0.0,0.0,0.0,0.0
205,Callitrichidae,Leontocebus,Red_mantled_Saddle_back_Tamarin,1.0,0.0,0.0,0.0,0.0,0.0,0.0
206,Callitrichidae,Leontocebus,Andean_Saddle_back_Tamarin,1.0,0.0,0.0,0.0,0.0,0.0,0.0
207,Callitrichidae,Leontocebus,Black_mantled_tamarin,1.0,0.0,0.0,0.0,1.0,0.0,0.0
208,Callitrichidae,Leontocebus,Geoffroy_s_Saddle_back_Tamarin,1.0,0.0,0.0,0.0,0.0,0.0,0.0
209,Callitrichidae,Leontocebus,Golden_mantled_Saddle_back_Tamarin,1.0,0.0,0.0,0.0,1.0,0.0,0.0
210,Callitrichidae,Leontocebus,Weddells_Saddle_back_Tamarin,1.0,0.0,0.0,0.0,0.0,0.0,0.0
211,Callitrichidae,Leontopithecus,Black_faced_Lion_Tamarin,1.0,0.0,0.0,0.0,0.0,0.0,0.0
212,Callitrichidae,Leontopithecus,Golden_headed_Lion_Tamarin,1.0,0.0,0.0,0.0,0.0,0.0,0.0
213,Callitrichidae,Leontopithecus,Black_Lion_Tamarin,1.0,0.0,0.0,0.0,0.0,0.0,0.0
214,Callitrichidae,Leontopithecus,Golden_Lion_Tamarin,1.0,0.0,0.0,0.0,0.0,0.0,0.0
215,Lepilemuridae,Lepilemur,Antafia_Sportive_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
216,Lepilemuridae,Lepilemur,Tsiombikibo_Sportive_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
217,Lepilemuridae,Lepilemur,Ankarana_Sportive_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
218,Lepilemuridae,Lepilemur,Betsileo_Sportive_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
219,Lepilemuridae,Lepilemur,Gray_s_Sportive_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
220,Lepilemuridae,Lepilemur,Milne_Edwards_s_Sportive_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
221,Lepilemuridae,Lepilemur,Andohahela_Sportive_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
222,Lepilemuridae,Lepilemur,Anjiamangirana_Sportive_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
223,Lepilemuridae,Lepilemur,Mananara_Nord_Sportive_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
224,Lepilemuridae,Lepilemur,Zombitse_Sportive_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
225,Lepilemuridae,Lepilemur,Manombo_Sportive_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
226,Lepilemuridae,Lepilemur,White_footed_Sportive_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
227,Lepilemuridae,Lepilemur,Small_toothed_Sportive_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
228,Lepilemuridae,Lepilemur,Daraina_Sportive_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
229,Lepilemuridae,Lepilemur,Mittermeier_s_Sportive_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
230,Lepilemuridae,Lepilemur,Weasel_Sportive_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
231,Lepilemuridae,Lepilemur,Ambodimahabibo_Sportive_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
232,Lepilemuridae,Lepilemur,Petter_s_Sportive_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
233,Lepilemuridae,Lepilemur,Bemaraha_Sportive_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
234,Lepilemuridae,Lepilemur,Red_tailed_Sportive_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
235,Lepilemuridae,Lepilemur,Sahamalaza_Sportive_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
236,Lepilemuridae,Lepilemur,Masoala_Sportive_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
237,Lepilemuridae,Lepilemur,Seal_s_Sportive_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
238,Lepilemuridae,Lepilemur,Sahafary_Sportive_Lemur,1.0,0.0,0.0,0.0,0.0,0.0,0.0
