,Family,Genus,CommonName,Average_Weight
41,Atelidae,Ateles,White_whiskered_Spider_Monkey,8.1
42,Atelidae,Ateles,White_whiskered_Spider_Monkey,5.82
43,Atelidae,Ateles,Red_faced_Black_Spider_Monkey,8.28
44,Indriidae,Avahi,Betsileo_Woolly_Lemur,0.92
45,Indriidae,Avahi,Betsileo_Woolly_Lemur,1.08
46,Indriidae,Avahi,Bemaraha_Woolly_Lemur,1.03
47,Indriidae,Avahi,Bemaraha_Woolly_Lemur,0.95
48,Indriidae,Avahi,Eastern_Woolly_Lemur,1.17
49,Indriidae,Avahi,Eastern_Woolly_Lemur,1.18
50,Indriidae,Avahi,Southern_Woolly_Lemur,1.15
51,Indriidae,Avahi,Southern_Woolly_Lemur,1.21
52,Indriidae,Avahi,Masoala_Woolly_Lemur,0.92
53,Indriidae,Avahi,Western_Woolly_Lemur,0.8
54,Indriidae,Avahi,Peyrieras_s_Woolly_Lemur,1.08
55,Indriidae,Avahi,Peyrieras_s_Woolly_Lemur,1.03
56,Indriidae,Avahi,Manombo_Woolly_Lemur,0.96
57,Indriidae,Avahi,Manombo_Woolly_Lemur,0.98
58,Indriidae,Avahi,Sambirano_Woolly_Lemur,0.85
59,Atelidae,Brachyteles,Southern_Muriqui,8.84
60,Atelidae,Brachyteles,Northern_Muriqui,9.0
61,Pitheciidae,Cacajao,Ayres_Black_Uakari,
62,Pitheciidae,Cacajao,Bald_Uacari,3.17
63,Pitheciidae,Cacajao,Black_headed_Uacari,
64,Pitheciidae,Cacajao,Black_headed_Uacari,2.94
65,Pitheciidae,Cacajao,Spix_s_Black_headed_Uacari,2.35
66,Pitheciidae,Cacajao,Spix_s_Black_headed_Uacari,3.8
67,Callitrichidae,Callibella,Black_crowned_Dwarf_Marmoset,0.12
68,Pitheciidae,Callicebus,Blond_Titi,1.15
69,Pitheciidae,Callicebus,Coimbra_Filho_s_Titi,
70,Pitheciidae,Callicebus,Coimbra_Filho_s_Titi,1.21
71,Pitheciidae,Callicebus,Southern_Bahian_Titi,
72,Pitheciidae,Callicebus,Southern_Bahian_Titi,1.37
73,Pitheciidae,Callicebus,Black_fronted_Titi,
74,Pitheciidae,Callicebus,Masked_Titi,1.32
75,Callitrichidae,Callimico,Goeldi_s_Monkey*,0.48
76,Callitrichidae,Callithrix,Buffy_tufted_ear_Marmoset,0.44
77,Callitrichidae,Callithrix,Buffy_headed_Marmoset,0.43
78,Callitrichidae,Callithrix,Geoffroy_s_Tufted_ear_Marmoset,0.24
79,Callitrichidae,Callithrix,Common_Marmoset,0.32
80,Callitrichidae,Callithrix,Wied_s_Black_tufted_ear_Marmoset,0.38
81,Callitrichidae,Callithrix,Black_tufted_ear_Marmoset,0.33
82,Tarsiidae,Carlito,Philippine_Tarsier,0.13
83,Callitrichidae,Cebuella,Eastern_Pygmy_Marmoset,
84,Callitrichidae,Cebuella,Pygmy_Marmoset,0.12
85,Cebidae,Cebus,Ecuadorian_White_fronted_Capuchin,2.19
86,Cebidae,Cebus,Humboldt_s_White_fronted_Capuchin,2.74
87,Cebidae,Cebus,Venezuelan_Brown_Capuchin,
88,Cebidae,Cebus,Colombian_White_faced_Capuchin,3.11
89,Cebidae,Cebus,Río_Cesar_White_fronted_Capuchin,
90,Cebidae,Cebus,Shock_headed_Capuchin,2.85
91,Cebidae,Cebus,Shock_headed_Capuchin,2.9
92,Cebidae,Cebus,Panamanian_White_faced_Capuchin,3.22
93,Cebidae,Cebus,Panamanian_White_faced_Capuchin,3.25
94,Cebidae,Cebus,Ka_apor_Capuchin,2.7
95,Cebidae,Cebus,Ka_apor_Capuchin,2.15
96,Cebidae,Cebus,Sierra_de_Perijá_White_fronted_Capuchin,
97,Cebidae,Cebus,Santa_Marta_White_fronted_Capuchin,
98,Cebidae,Cebus,Guianan_Weeper_Capuchin,2.88
99,Cebidae,Cebus,Spix_s_White_fronted_Capuchin,2.74
100,Cebidae,Cebus,Varied_White_fronted_Capuchin,2.74
101,Cebidae,Cebus,Marañón_White_fronted_Capuchin,3.35
102,Tarsiidae,Cephalopachus,Western_Tarsier,0.12
103,Cercopithecidae,Cercocebus,Agile_Mangabey,7.58
104,Cercopithecidae,Cercocebus,Sooty_Mangabey,8.6
105,Cercopithecidae,Cercocebus,Golden_bellied_Mangabey,9.5
106,Cercopithecidae,Cercocebus,Golden_bellied_Mangabey,10.0
107,Cercopithecidae,Cercocebus,Tana_River_Mangabey,7.44
108,Cercopithecidae,Cercocebus,White_naped_Mangabey,7.28
109,Cercopithecidae,Cercocebus,Sanje_River_Mangabey,8.05
110,Cercopithecidae,Cercocebus,Red_capped_Mangabey,7.5
111,Cercopithecidae,Cercopithecus,Syke_s_Monkey,5.28
112,Cercopithecidae,Cercopithecus,Red_tailed_Monkey,3.24
113,Cercopithecidae,Cercopithecus,Campbell_s_Monkey,3.6
114,Cercopithecidae,Cercopithecus,Moustached_Monkey,3.48
115,Cercopithecidae,Cercopithecus,Dent_s_Monkey,3.54
116,Cercopithecidae,Cercopithecus,Diana_Monkey,4.5
117,Cercopithecidae,Cercopithecus,Silver_Monkey,
118,Cercopithecidae,Cercopithecus,Dryas_Monkey,2.65
119,Cercopithecidae,Cercopithecus,Red_bellied_Monkey,3.5
120,Cercopithecidae,Cercopithecus,Red_eared_Monkey,3.4
121,Cercopithecidae,Cercopithecus,Owl_faced_Monkey,4.43
122,Cercopithecidae,Cercopithecus,Virungas_Golden_Monkey,6.2
123,Cercopithecidae,Cercopithecus,Lesula,5.0
124,Cercopithecidae,Cercopithecus,Lowe_s_Monkey,3.9
125,Cercopithecidae,Cercopithecus,Blue_Monkey,4.89
126,Cercopithecidae,Cercopithecus,Mona_Monkey,4.05
127,Cercopithecidae,Cercopithecus,De_Brazza_s_Monkey,5.74
128,Cercopithecidae,Cercopithecus,Putty_nosed_Monkey,5.46
129,Cercopithecidae,Cercopithecus,Spot_nosed_Monkey,3.65
130,Cercopithecidae,Cercopithecus,Crowned_Monkey,3.58
131,Cercopithecidae,Cercopithecus,Roloway_Monkey,4.55
132,Cercopithecidae,Cercopithecus,Sclater_s_Monkey,3.25
133,Cercopithecidae,Cercopithecus,Wolf_s_Monkey,3.34
134,Cheirogaleidae,Cheirogaleus,Montagne_d_Ambre_Dwarf_Lemur,
135,Cheirogaleidae,Cheirogaleus,Crossley_s_Dwarf_Lemur,0.29
136,Cheirogaleidae,Cheirogaleus,Lavasoa_Dwarf_lemur,
137,Cheirogaleidae,Cheirogaleus,Greater_Dwarf_Lemur,0.51
138,Cheirogaleidae,Cheirogaleus,Greater_Dwarf_Lemur,0.5
139,Cheirogaleidae,Cheirogaleus,Fat_tailed_Dwarf_Lemur,0.14
140,Cheirogaleidae,Cheirogaleus,Fat_tailed_Dwarf_Lemur,0.18
141,Cheirogaleidae,Cheirogaleus,Fat_tailed_Dwarf_Lemur,0.21
142,Cheirogaleidae,Cheirogaleus,Lesser_Iron_gray_Dwarf_Lemur,0.3
143,Cheirogaleidae,Cheirogaleus, Sheth's_Dwarf_Lemur,
144,Cheirogaleidae,Cheirogaleus,Sibree_s_Dwarf_Lemur,0.27
145,Cheirogaleidae,Cheirogaleus,Thomas_s_Dwarf_Lemur,
146,Pitheciidae,Cheracebus,Yellow_handed_Titi,1.5
147,Pitheciidae,Cheracebus,White_chested_Titi,1.37
148,Pitheciidae,Cheracebus,Medem_s_Titi,1.2
149,Pitheciidae,Cheracebus,Medem_s_Titi,1.16
150,Pitheciidae,Cheracebus,Rio_Purus_Titi,1.5
151,Pitheciidae,Cheracebus,Rio_Juruá_Collared_Titi,1.25
152,Pitheciidae,Cheracebus,White_collared_Titi,1.25
153,Pitheciidae,Chiropotes,White_nosed_Bearded_Saki,2.82
154,Pitheciidae,Chiropotes,Rio_Negro_Beared_Saki,2.74
155,Pitheciidae,Chiropotes, Brown_backed_Bearded_Saki,
156,Pitheciidae,Chiropotes,Guianan_Beared_Saki,3.0
157,Pitheciidae,Chiropotes,Black_Bearded_Saki,3.03
158,Pitheciidae,Chiropotes,Black_Bearded_Saki,2.74
159,Pitheciidae,Chiropotes,Uta_Hick_s_Bearded_Saki,3.0
160,Cercopithecidae,Chlorocebus,Grivet_Monkey,4.65
161,Cercopithecidae,Chlorocebus,Malbrouck_Monkey,3.98
162,Cercopithecidae,Chlorocebus,Bale_Monkey,3.98
