,Family,Genus,CommonName,Territory (ha)
525,Cercopithecidae,Piliocolobus,Tana_River_Red_Colobus,14.25
526,Cercopithecidae,Piliocolobus,Semliki_Red_Colobus,
527,Cercopithecidae,Piliocolobus,Temminick_s_Red_Colobus,22.5
528,Cercopithecidae,Piliocolobus,Ashy_Red_Colobus,133.0
531,Cercopithecidae,Piliocolobus,Tshuapa_Red_Colobus,
532,Cercopithecidae,Piliocolobus,Miss_Waldron_s_Red_Colobus,120.0
533,Pitheciidae,Pithecia,Equatorial_Saki,
534,Pitheciidae,Pithecia,Buffy_Saki,172.4
535,Pitheciidae,Pithecia,Cazuza_s_Saki,
536,Pitheciidae,Pithecia,Golden_faced_Saki,103.0
537,Pitheciidae,Pithecia,Golden_faced_Saki,9.25
538,Pitheciidae,Pithecia,Hairy_Saki,24.9
539,Pitheciidae,Pithecia,Burnished_Saki,
540,Pitheciidae,Pithecia,Gray_s_Bald_faced_Saki,35.9
541,Pitheciidae,Pithecia,Isabel_s_Saki,
542,Pitheciidae,Pithecia,Miller_s_Saki,
543,Pitheciidae,Pithecia,Mittermeier_s_Tapajós_Saki,
544,Pitheciidae,Pithecia,Monk_Saki,25.85
545,Pitheciidae,Pithecia,Napo_Saki,
546,Pitheciidae,Pithecia,Pissinatti_s_Bald_faced_Saki,
547,Pitheciidae,Pithecia,White_faced_saki,48.0
552,Pitheciidae,Pithecia,Rylands__Bald_faced_Saki,35.9
553,Pitheciidae,Pithecia,Vanzolinis_Bald_faced_Saki,
554,Pitheciidae,Plecturocebus,Madidi_Titi,14.0
556,Pitheciidae,Plecturocebus,Lake_Baptista_Titi,
557,Pitheciidae,Plecturocebus,Prince_Bernhard_s_Titi,
558,Pitheciidae,Plecturocebus,Brown_Titi,3.9
559,Pitheciidae,Plecturocebus,Chestnut_bellied_Titi,
560,Pitheciidae,Plecturocebus,Caquetá_Titi,
561,Pitheciidae,Plecturocebus,Ashy_Titi,
562,Pitheciidae,Plecturocebus,Coppery_Titi,25.0
563,Pitheciidae,Plecturocebus,Red_crowned_Titi,3.3
564,Pitheciidae,Plecturocebus,White_eared_Titi,100.0
565,Pitheciidae,Plecturocebus,White_eared_Titi,9.0
566,Pitheciidae,Plecturocebus,Hoffmann_s_Titi,
567,Pitheciidae,Plecturocebus,Milton´s_titi_monkey,
568,Pitheciidae,Plecturocebus,Rio_Beni_Titi,
569,Pitheciidae,Plecturocebus,Red_bellied_Titi,4.2
570,Pitheciidae,Plecturocebus,Red_bellied_Titi,12.0
571,Pitheciidae,Plecturocebus,San_Martín_Titi,2.3
572,Pitheciidae,Plecturocebus,Olalla_s_Titi,10.0
573,Pitheciidae,Plecturocebus,Ornate_Titi,7.0
577,Pitheciidae,Plecturocebus,Pale_Titi,20.0
578,Pitheciidae,Plecturocebus,Stephen_Nash_s_Titi,
579,Pitheciidae,Plecturocebus,Toppins_Titi,4.7
580,Pitheciidae,Plecturocebus,Urubamba_Brown_Titi,
581,Pitheciidae,Plecturocebus,Vieira_s_Titi,
582,Hominidae,Pongo,Sumatran_Orangutan,277.0
583,Hominidae,Pongo,Bornean_Orangutan,436.0
586,Hominidae,Pongo,Tapanuli_Orangutan,
587,Cercopithecidae,Presbytis,Black_and_white_Langur,
588,Cercopithecidae,Presbytis,Miller_s_Langur,
589,Cercopithecidae,Presbytis,Cross_marked_Langur,
590,Cercopithecidae,Presbytis,Javan_Langur,26.0
591,Cercopithecidae,Presbytis,Banded_Langur,24.85
592,Cercopithecidae,Presbytis,White_fronted_Langur,200.0
593,Cercopithecidae,Presbytis,Hose_s_Langur,40.0
594,Cercopithecidae,Presbytis,Black_crested_Sumatran_Langur,22.0
595,Cercopithecidae,Presbytis,Mitered_Langur,21.75
596,Cercopithecidae,Presbytis,Natuna_Islands_Langur,
597,Cercopithecidae,Presbytis,Mentawai_Langur,25.25
598,Cercopithecidae,Presbytis,Maroon_Langur,66.0
599,Cercopithecidae,Presbytis,Maroon_Langur,108.45
600,Cercopithecidae,Presbytis,Sabah_Grizzled_Langur,90.9
601,Cercopithecidae,Presbytis,Pale_thighed_Langur,24.0
602,Cercopithecidae,Presbytis,Siberut_Langur,16.75
603,Cercopithecidae,Presbytis,Black_Sumatran_Langur,
604,Cercopithecidae,Presbytis,Thomas_s_Langur,30.0
606,Cercopithecidae,Procolobus,Olive_Colobus,31.0
607,Cercopithecidae,Procolobus,Olive_Colobus,55.6
608,Lemuridae,Prolemur,Greater_Bamboo_Lemur,51.0
610,Indriidae,Propithecus,Silky_Sifaka,38.85
611,Indriidae,Propithecus,Coquerel_s_Sifaka,7.625
612,Indriidae,Propithecus,Crowned_Sifaka,1.35
613,Indriidae,Propithecus,Decken_s_Sifaka,
614,Indriidae,Propithecus,Diademed_Sifaka,46.0
616,Indriidae,Propithecus,Milne_Edwards_s_Sifaka,145.0
617,Indriidae,Propithecus,Milne_Edwards_s_Sifaka,34.16
618,Indriidae,Propithecus,Perrier_s_Sifaka,16.0
620,Indriidae,Propithecus,Tattersall_s_Sifaka,10.5
621,Indriidae,Propithecus,Tattersall_s_Sifaka,8.35
622,Indriidae,Propithecus,Verreaux_s_Sifaka,6.0
625,Cercopithecidae,Pygathrix,Grey_shanked_Douc,984.0
626,Cercopithecidae,Pygathrix,Red_shanked_Douc,164.0
629,Cercopithecidae,Pygathrix,Black_shanked_Douc,25.0
630,Cercopithecidae,Rhinopithecus,Tonkin_Snub_nosed_Monkey,470.0
631,Cercopithecidae,Rhinopithecus,Tonkin_Snub_nosed_Monkey,1000.0
632,Cercopithecidae,Rhinopithecus,Yunnan_Snub_nosed_Monkey,2094.0
636,Cercopithecidae,Rhinopithecus,Guizhou_Snub_nosed_Monkey,3450.0
637,Cercopithecidae,Rhinopithecus,Golden_Snub_nosed_Monkey,1830.0
638,Cercopithecidae,Rhinopithecus,Stryker_s_Snub_nosed_Monkey,1745.0
640,Cercopithecidae,Rungwecebus,Kipunji,306.2
641,Callitrichidae,Saguinus,Pied_Tamarin,35.0
643,Callitrichidae,Saguinus,Geoffroy_s_Tamarin,34.5
644,Callitrichidae,Saguinus,Emperor_Tamarin,30.0
645,Callitrichidae,Saguinus,Mottled_face_Tamarin,35.0
646,Callitrichidae,Saguinus,Red_bellied_Tamarin,30.0
647,Callitrichidae,Saguinus,Red_bellied_Tamarin,19.7
648,Callitrichidae,Saguinus,White_footed_Tamarin,35.0
650,Callitrichidae,Saguinus,Martin_s_Bare_faced_Tamarin,12.0
651,Callitrichidae,Saguinus,Midas_Tamarin,36.0
653,Callitrichidae,Saguinus,Mustached_Tamarin,86.0
656,Callitrichidae,Saguinus,Western_Black_handed_Tamarin,34.0
659,Callitrichidae,Saguinus,Cotton_top_Tamarin,21.0
660,Callitrichidae,Saguinus,Eastern_Black_handed_Tamarin,
661,Cebidae,Saimiri,Black_capped_Squirrel_Monkey,375.0
662,Cebidae,Saimiri,Humboldt_s_Squirrel_Monkey,170.0
663,Cebidae,Saimiri,Collins'_Squirrel_Monkey,
664,Cebidae,Saimiri,Ecuadorian_Squirrel_Monkey,
665,Cebidae,Saimiri,Central_American_Squirrel_Monkey,176.0
666,Cebidae,Saimiri,Central_American_Squirrel_Monkey,200.0
668,Cebidae,Saimiri,Guianan_Squirrel_Monkey,181.0
669,Cebidae,Saimiri,Golden_backed_Squirrel_Monkey,50.0
670,Cebidae,Saimiri,Black_headed_Squirrel_Monkey,80.0
671,Cebidae,Sapajus,Guianan_Brown_Capuchin,355.0
672,Cebidae,Sapajus,Hooded_Capuchin,
673,Cebidae,Sapajus,Blond_Capuchin,224.0
675,Cebidae,Sapajus,Bearded_Capuchin,300.0
676,Cebidae,Sapajus,Large_headed_Capuchin,65.0
677,Cebidae,Sapajus,Black_horned_Capuchin,161.0
678,Cebidae,Sapajus,Black_horned_Capuchin,240.0
679,Cebidae,Sapajus,Crested_Capuchin,110.5
681,Cebidae,Sapajus,Yellow_breasted_Capuchin,846.0
682,Galagidae,Sciurocheirus,Bioko_Squirrel_Galago,2.35
683,Galagidae,Sciurocheirus,Cross_River_Squirrel_Galago,11.0
685,Galagidae,Sciurocheirus,Gabon_Squirrel_Galago,30.0
686,Galagidae,Sciurocheirus,Gabon_Squirrel_Galago,10.25
687,Galagidae,Sciurocheirus,Makandé_squirrel_galago,
688,Cercopithecidae,Semnopithecus,Chamba_Sacred_Langur,356.0
691,Cercopithecidae,Semnopithecus,Bengal_Sacred_Langur,78.0
692,Cercopithecidae,Semnopithecus,Terai_Sacred_Langur,
693,Cercopithecidae,Semnopithecus,Malabar_Sacred_Langur,12328.0
694,Cercopithecidae,Semnopithecus,Nilgiri_Langur,356.0
696,Cercopithecidae,Semnopithecus,Tufted_Gray_Langur,80.0
697,Cercopithecidae,Semnopithecus,Nepal_Sacred_Langur,3824.0
699,Cercopithecidae,Semnopithecus,Purple_faced_Langur,5.375
700,Cercopithecidae,Simias,Pig_tailed_Langur,7.1
701,Hylobatidae,Symphalangus,Siamang,17.3
702,Tarsiidae,Tarsius,Dian_s_Tarsier,1.39
703,Tarsiidae,Tarsius,Makassar_Tarsier,
704,Tarsiidae,Tarsius,Lariang_Tarsier,
705,Tarsiidae,Tarsius,Peleng_Tarsier,1.0
706,Tarsiidae,Tarsius,Sulawesi_Mountain_Tarsier,1.2
707,Tarsiidae,Tarsius,Sulawesi_Mountain_Tarsier,2.01
708,Tarsiidae,Tarsius,Great_Sangihe_Tarsier,
709,Tarsiidae,Tarsius,Gursky's_Spectral_Tarsier ,
710,Tarsiidae,Tarsius,Jatna's_Tarsier,
711,Tarsiidae,Tarsius,Selayar_Tarsier,1.0
712,,,Selayar_Tarsier,2.61
713,Tarsiidae,Tarsius,Siau_Island_Tarsier,
714,Tarsiidae,Tarsius,Wallace_s_Tarsier,
715,Cercopithecidae,Theropithecus,Gelada,203.43
716,Cercopithecidae,Trachypithecus,East_Javan_Langur,10.0
719,Cercopithecidae,Trachypithecus,Tenasserim_Langur,
722,Cercopithecidae,Trachypithecus,Indochinese_Gray_Langur,287.0
723,Cercopithecidae,Trachypithecus,Silvered_Langur,43.0
724,Cercopithecidae,Trachypithecus,Delacour_s_Langur,36.0
725,Cercopithecidae,Trachypithecus,Black_Langur,
728,Cercopithecidae,Trachypithecus,Francois_s_Langur,37.0
729,Cercopithecidae,Trachypithecus,Golden_Langur,375.0
730,Cercopithecidae,Trachypithecus,Golden_Langur,41.5
731,Cercopithecidae,Trachypithecus,Germain_s_Langur,17.0
732,Cercopithecidae,Trachypithecus,Hatinh_Langur,225.0
733,Cercopithecidae,Trachypithecus,Laos_Langur,
734,Cercopithecidae,Trachypithecus,White_headed_Langur,29.1
735,Cercopithecidae,Trachypithecus,Annamese_Langur,221.0
736,Cercopithecidae,Trachypithecus,West_Javan_Langur,5.25
737,Cercopithecidae,Trachypithecus,Dusky_Langur,30.5
738,Cercopithecidae,Trachypithecus,Phayre_s_Langur,82.37
739,Cercopithecidae,Trachypithecus,Capped_Langur,18.0
740,Cercopithecidae,Trachypithecus,Cat_Ba_Langur,30.0
741,Cercopithecidae,Trachypithecus,Cat_Ba_Langur,36.0
742,Cercopithecidae,Trachypithecus,Selangor_Silvery_Langur,31.5
743,Cercopithecidae,Trachypithecus,Shortridge_s_Langur,
744,Lemuridae,Varecia,Red_Ruffed_Lemur,18.0
746,Lemuridae,Varecia,Black_and_white_Ruffed_Lemur,128.0
