,Family,Genus,CommonName,Status
229,Lepilemuridae,Lepilemur,Mittermeier_s_Sportive_Lemur,EN
230,Lepilemuridae,Lepilemur,Weasel_Sportive_Lemur,NT
231,Lepilemuridae,Lepilemur,Ambodimahabibo_Sportive_Lemur,EN
232,Lepilemuridae,Lepilemur,Petter_s_Sportive_Lemur,VU
233,Lepilemuridae,Lepilemur,Bemaraha_Sportive_Lemur,EN
234,Lepilemuridae,Lepilemur,Red_tailed_Sportive_Lemur,VU
235,Lepilemuridae,Lepilemur,Sahamalaza_Sportive_Lemur,CR
236,Lepilemuridae,Lepilemur,Masoala_Sportive_Lemur,EN
237,Lepilemuridae,Lepilemur,Seal_s_Sportive_Lemur,VU
238,Lepilemuridae,Lepilemur,Sahafary_Sportive_Lemur,CR
239,Lepilemuridae,Lepilemur,Nosy_Be_Sportive_Lemur,CR
240,Lepilemuridae,Lepilemur,Wright_s_Sportive_Lemur,EN
241,Cercopithecidae,Lophocebus,Gray_cheeked_Mangabey,LC
242,Cercopithecidae,Lophocebus,Northern_Black_Crested_Mangabey,NT
243,Cercopithecidae,Lophocebus,Johnston_s_Mangabey,LC
244,Cercopithecidae,Lophocebus,Southern_Back_Crested_Mangabey,DD
245,Cercopithecidae,Lophocebus,Rusty_mantled_Mangabey,LC
246,Cercopithecidae,Lophocebus,Ugandan_Crested_Mangabey,NE
247,Lorisidae,Loris,Gray_Slender_Loris,LC
248,Lorisidae,Loris,Red_Slender_Loris,EN
249,Cercopithecidae,Macaca,Stump_tailed_Macaque,VU
250,Cercopithecidae,Macaca,Assamese_Macaque,NT
251,Cercopithecidae,Macaca,Taiwanese_Macaque,LC
252,Cercopithecidae,Macaca,Long_tailed_Macaque,LC
253,Cercopithecidae,Macaca,Japanese_Macaque,LC
254,Cercopithecidae,Macaca,Heck_s_Macaque,VU
255,Cercopithecidae,Macaca,Northern_Pig_tailed_Macaque,VU
256,Cercopithecidae,Macaca,White_cheeked_Macaque,NE
257,Cercopithecidae,Macaca,Moor_Macaque,EN
258,Cercopithecidae,Macaca,Rhesus_Macaque,LC
259,Cercopithecidae,Macaca,Arunachal_Macaque,EN
260,Cercopithecidae,Macaca,Sunda_Pig_tailed_Macaque,VU
261,Cercopithecidae,Macaca,Crested_Macaque,CR
262,Cercopithecidae,Macaca,Gorontalo_Macaque,VU
263,Cercopithecidae,Macaca,Booted_Macaque,VU
264,Cercopithecidae,Macaca,Pagai_Macaque,CR
265,Cercopithecidae,Macaca,Bonnet_Macaque,LC
266,Cercopithecidae,Macaca,Siberut_Macaque,VU
267,Cercopithecidae,Macaca,Lion_tailed_Macaque,EN
268,Cercopithecidae,Macaca,Toque_Macaque,EN
269,Cercopithecidae,Macaca,Barbary_Macaque,EN
270,Cercopithecidae,Macaca,Tibetan_Macaque,NT
271,Cercopithecidae,Macaca,Tonkean_Macaque,VU
272,Cercopithecidae,Mandrillus,Drill,EN
273,Cercopithecidae,Mandrillus,Mandrill,VU
274,Callitrichidae,Mico,Rio_Acarí_Marmoset,LC
275,Callitrichidae,Mico,Silvery_Marmoset,LC
276,Callitrichidae,Mico,Golden_white_Tassel_ear_Marmoset,LC
277,Callitrichidae,Mico,Snethlage_s_Marmoset,LC
278,Callitrichidae,Mico,Santarém_Marmoset,DD
279,Callitrichidae,Mico,Black_crowned_Dwarf_Marmoset,
280,Callitrichidae,Mico,Rio_Aripuanã_Marmoset,LC
281,Callitrichidae,Mico,Golden_white_Bare_ear_Marmoset,VU
282,Callitrichidae,Mico,Marca_s_Marmoset,DD
283,Callitrichidae,Mico,Maués_Marmoset,LC
284,Callitrichidae,Mico,Black_tailed_Marmoset,LC
285,Callitrichidae,Mico,Black_headed_Marmoset,DD
286,Callitrichidae,Mico,Rondon_s_Marmoset,VU
287,Callitrichidae,Mico,Sateré_Marmoset,LC
288,Cheirogaleidae,Microcebus,Montagne_d_Ambre_Mouse_Lemur,EN
289,Cheirogaleidae,Microcebus,Madame_Berthe_s_Mouse_Lemur,EN
290,Cheirogaleidae,Microcebus,Bongolava_Mouse_Lemur,EN
291,Cheirogaleidae,Microcebus, Nosy_Boraha_Mouse_Lemur,
292,Cheirogaleidae,Microcebus,Ambarijeby_Mouse_Lemur,EN
293,Cheirogaleidae,Microcebus,Ganzhorn's_Mouse_Lemur,
294,Cheirogaleidae,Microcebus,Gerp_s_Mouse_Lemur,CR
295,Cheirogaleidae,Microcebus,Gray_brown_Mouse_Lemur,LC
296,Cheirogaleidae,Microcebus,Jolly_s_Mouse_Lemur,EN
297,Cheirogaleidae,Microcebus,Goodman_s_Mouse_Lemur,VU
298,Cheirogaleidae,Microcebus,Anjiahely_Mouse_Lemur,EN
299,Cheirogaleidae,Microcebus,Nosy_Be_Mouse_Lemur,CR
300,Cheirogaleidae,Microcebus,Bemanasy_Mouse_Lemur,
301,Cheirogaleidae,Microcebus,Margot_Marsh_s_Mouse_Lemur,EN
302,Cheirogaleidae,Microcebus,Marohita_Mouse_Lemur,CR
303,Cheirogaleidae,Microcebus,Mittermeier_s_Mouse_Lemur,EN
304,Cheirogaleidae,Microcebus,Gray_Mouse_Lemur,LC
305,Cheirogaleidae,Microcebus,Peters_s_Mouse_Lemur,VU
306,Cheirogaleidae,Microcebus,Golden_brown_Mouse_Lemur,EN
307,Cheirogaleidae,Microcebus,Rufous_Mouse_Lemur,VU
308,Cheirogaleidae,Microcebus,Sambirano_Mouse_Lemur,EN
309,Cheirogaleidae,Microcebus,Simmons_s_Mouse_Lemur,EN
310,Cheirogaleidae,Microcebus,Anosi_Mouse_lemur,NE
311,Cheirogaleidae,Microcebus,Tavaratra_Mouse_Lemur,VU
312,Cercopithecidae,Miopithecus,Northern_Talapoin_Monkey,LC
313,Cercopithecidae,Miopithecus,Southern_Talapoin_Monkey,LC
314,Cheirogaleidae,Mirza,Coquerel_s_Giant_Mouse_Lemur,EN
315,Cheirogaleidae,Mirza,Northern_Giant_Mouse_Lemur,EN
316,Cercopithecidae,Nasalis,Proboscis_Monkey,EN
317,Hylobatidae,Nomascus,Northern_Yellow_cheeked_Crested_Gibbon,NE
318,Hylobatidae,Nomascus,Western_Black_Crested_Gibbon,CR
319,Hylobatidae,Nomascus,Southern_Yellow_cheeked_Crested_Gibbon,EN
320,Hylobatidae,Nomascus,Hainan_Crested_Gibbon,CR
321,Hylobatidae,Nomascus,Northern_White_cheeked_Crested_Gibbon,CR
322,Hylobatidae,Nomascus,Eastern_Black_Crested_Gibbon,CR
323,Hylobatidae,Nomascus,Southern_White_cheeked_Crested_Gibbon,EN
324,Lorisidae,Nycticebus,Bangka_Slow_Loris,NE
325,Lorisidae,Nycticebus,Bengal_Slow_Loris,VU
326,Lorisidae,Nycticebus,Bornean_Slow_Loris,NE
327,Lorisidae,Nycticebus,Sunda_Slow_Loris,VU
328,Lorisidae,Nycticebus,Javan_Slow_Loris,CR
329,Lorisidae,Nycticebus,Kayan_River_Slow_Loris,NE
330,Lorisidae,Nycticebus,Philippine_Slow_Loris,VU
331,Lorisidae,Nycticebus,Pygmy_Slow_Loris,VU
332,Galagidae,Otolemur,Thick_tailed_Greater_Galago,LC
333,Galagidae,Otolemur,Garnett_s_Greater_Galago,LC
334,Hominidae,Pan,Bonobo,EN
335,Hominidae,Pan,Chimpanzee,EN
336,Cercopithecidae,Papio,Olive_Baboon,LC
337,Cercopithecidae,Papio,Yellow_Baboon,LC
338,Cercopithecidae,Papio,Hamadryas_Baboon,LC
339,Cercopithecidae,Papio,Kinda_Baboon,LC
340,Cercopithecidae,Papio,Guinea_Baboon,NT
341,Cercopithecidae,Papio,Chacma_Baboon,LC
342,Galagidae,Paragalago,Kenya_Coast_Dwarf_Galago,
343,Galagidae,Paragalago,Mozambique_Dwarf_Galago,
344,Galagidae,Paragalago,Mountain_Dwarf_Galago,
345,Galagidae,Paragalago,Rondo_Dwarf_Galago,
346,Galagidae,Paragalago,Tanzania_Coast_Dwarf_Galago,
347,Lorisidae,Perodicticus,Milne_Edwards_s_Potto,LC
348,Lorisidae,Perodicticus,East_African_Potto,LC
349,Lorisidae,Perodicticus,West_African_Potto,LC
350,Cheirogaleidae,Phaner,Montagne_D__Ambre_Fork_marked_Lemur,EN
351,Cheirogaleidae,Phaner,Masoala_Fork_marked_Lemur,VU
352,Cheirogaleidae,Phaner,Pale_Fork_marked_Lemur,EN
353,Cheirogaleidae,Phaner,Sambirano_Fork_marked_Lemur,EN
354,Cercopithecidae,Piliocolobus,Upper_Guinea_Red_Colobus,EN
355,Cercopithecidae,Piliocolobus,Bouvier_s_Red_Colobus,CR
356,Cercopithecidae,Piliocolobus,Niger_Delta_Red_Colobus,CR
357,Cercopithecidae,Piliocolobus,Foa_s_Red_Colobus,NE
358,Cercopithecidae,Piliocolobus,Udzungwa_Red_Colobus,EN
359,Cercopithecidae,Piliocolobus,Zanzibar_Red_Colobus,EN
360,Cercopithecidae,Piliocolobus,Lang_s_Red_Colobus,NE
361,Cercopithecidae,Piliocolobus,,
362,Cercopithecidae,Piliocolobus,Oustalet_s_Red_Colobus,LC
363,Cercopithecidae,Piliocolobus,Lomami_Red_Colobus,NE
364,Cercopithecidae,Piliocolobus,Pennant_s_Red_Colobus,EN
365,Cercopithecidae,Piliocolobus,Preuss_s_Red_Colobus,CR
366,Cercopithecidae,Piliocolobus,Tana_River_Red_Colobus,EN
367,Cercopithecidae,Piliocolobus,Semliki_Red_Colobus,NE
368,Cercopithecidae,Piliocolobus,Temminick_s_Red_Colobus,EN
369,Cercopithecidae,Piliocolobus,Ashy_Red_Colobus,EN
370,Cercopithecidae,Piliocolobus,Tshuapa_Red_Colobus,NT
371,Cercopithecidae,Piliocolobus,Miss_Waldron_s_Red_Colobus,CR
372,Pitheciidae,Pithecia,Equatorial_Saki,LC
373,Pitheciidae,Pithecia,Buffy_Saki,LC
374,Pitheciidae,Pithecia,Cazuza_s_Saki,NE
375,Pitheciidae,Pithecia,Golden_faced_Saki,LC
376,Pitheciidae,Pithecia,Hairy_Saki,NE
377,Pitheciidae,Pithecia,Burnished_Saki,NE
378,Pitheciidae,Pithecia,Gray_s_Bald_faced_Saki,LC
379,Pitheciidae,Pithecia,Isabel_s_Saki,NE
380,Pitheciidae,Pithecia,Miller_s_Saki,DD
381,Pitheciidae,Pithecia,Mittermeier_s_Tapajós_Saki,NE
382,Pitheciidae,Pithecia,Monk_Saki,LC
383,Pitheciidae,Pithecia,Napo_Saki,NE
384,Pitheciidae,Pithecia,Pissinatti_s_Bald_faced_Saki,NE
385,Pitheciidae,Pithecia,White_faced_saki,LC
386,Pitheciidae,Pithecia,Rylands__Bald_faced_Saki,NE
387,Pitheciidae,Pithecia,Vanzolinis_Bald_faced_Saki,DD
388,Pitheciidae,Plecturocebus,Madidi_Titi,LC
389,Pitheciidae,Plecturocebus,Lake_Baptista_Titi,LC
390,Pitheciidae,Plecturocebus,Prince_Bernhard_s_Titi,LC
391,Pitheciidae,Plecturocebus,Brown_Titi,LC
392,Pitheciidae,Plecturocebus,Chestnut_bellied_Titi,LC
393,Pitheciidae,Plecturocebus,Caquetá_Titi,CR
394,Pitheciidae,Plecturocebus,Ashy_Titi,LC
395,Pitheciidae,Plecturocebus,Coppery_Titi,LC
396,Pitheciidae,Plecturocebus,Red_crowned_Titi,LC
397,Pitheciidae,Plecturocebus,White_eared_Titi,LC
398,Pitheciidae,Plecturocebus,Hoffmann_s_Titi,LC
399,Pitheciidae,Plecturocebus,Milton´s_titi_monkey,NE
400,Pitheciidae,Plecturocebus,Rio_Beni_Titi,EN
401,Pitheciidae,Plecturocebus,Red_bellied_Titi,LC
402,Pitheciidae,Plecturocebus,San_Martín_Titi,CR
403,Pitheciidae,Plecturocebus,Olalla_s_Titi,EN
404,Pitheciidae,Plecturocebus,Ornate_Titi,VU
405,Pitheciidae,Plecturocebus,Pale_Titi,LC
406,Pitheciidae,Plecturocebus,Stephen_Nash_s_Titi,DD
407,Pitheciidae,Plecturocebus,Toppins_Titi,NE
408,Pitheciidae,Plecturocebus,Urubamba_Brown_Titi,NE
409,Pitheciidae,Plecturocebus,Vieira_s_Titi,NE
410,Hominidae,Pongo,Sumatran_Orangutan,CR
411,Hominidae,Pongo,Bornean_Orangutan,CR
412,Hominidae,Pongo,Tapanuli_Orangutan,CR
413,Cercopithecidae,Presbytis,Black_and_white_Langur,DD
414,Cercopithecidae,Presbytis,Miller_s_Langur,EN
415,Cercopithecidae,Presbytis,Cross_marked_Langur,CR
416,Cercopithecidae,Presbytis,Javan_Langur,EN
417,Cercopithecidae,Presbytis,Banded_Langur,NT
418,Cercopithecidae,Presbytis,White_fronted_Langur,VU
