;CommonName;TrophicGuild;Fruit;Leaves;Flowers;Seeds;Animal;Gums;Nectar;Other;Country
44;Peyrieras_s_Woolly_Lemur;Folivore;NI;100;NI;NI;NI;NI;NI;NI;Madagascar
45;Manombo_Woolly_Lemur;Non-observed;;;;;;;;;Madagascar
46;Sambirano_Woolly_Lemur;Folivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
47;Southern_Muriqui;Folivore_frugivore;20.8;66;12.2;NI;NI;NI;NI;NI;Brazil
49;Northern_Muriqui;Folivore_frugivore;32;51;11;NI;NI;NI;NI;6;Brazil
50;Ayres Black_Uakari;Non-observed;;;;;;;;;Brazil
51;Bald_Uacari;Frugivore;18.4;3.3;NI;66.9;5.2;NI;6.2;NI;Brazil
52;Black-headed_Uacari;Frugivore;;;;;;;;;Brazil
53;Black_headed_Uacari;Frugivore;12;14.7;3.3;62;1.2;NI;NI;6.8;Brazil
54;Spix_s_Black_headed_Uacari;Frugivore;11;9;8;68;4;NI;NI;NI;NI
55;Black_crowned_Dwarf_Marmoset;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
56;Blond_Titi;Gummivore;;;;;;;;;Brazil
57;Coimbra_Filho_s_Titi;Frugivore;61;22;4;10;3;NI;NI;NI;Brazil
58;Southern_Bahian_Titi;Frugivore;54.7;17.2;NI;21.9;NI;NI;NI;6.2;NI
59;Black_fronted_Titi;Frugivore;43-74;33-85;nov-24;NI;0-4;NI;NI;NI;NI
60;Masked_Titi;Frugivore;81;18;1;NI;NI;NI;NI;NI;Brazil
61;Goeldi_s_Monkey*;Omnivore;29;NI;NI;NI;31;30;3;7;Bolivia
62;Buffy_tufted_ear_Marmoset;Omnivore;28.67;NI;NI;NI;29.66;29.8;NI;11.86;Brazil
63;Buffy_headed_Marmoset;Gummivore;14.39;NI;NI;NI;19.69;65.72;NI;NI;Brazil
65;Geoffroy_s_Tufted_ear_Marmoset;Gummivore;15;;NI;15.4;NI;68.6;NI;1;Brazil
66;Common_Marmoset;Gummivore;23;NI;NI;NI;NI;68;NI;9;NI
67;Wied_s_Black_tufted_ear_Marmoset;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
68;Black_tufted_ear_Marmoset;Gummivore;0;NI;NI;NI;30;70;NI;NI;Brazil
69;Philippine_Tarsier;Insectivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
70;Eastern_Pygmy_Marmoset;Omnivore;;;;;;;;;Colombia
71;Pygmy_Marmoset;Omnivore;NI;NI;NI;NI;NI;33;NI;NI;Ecuador
75;Ecuadorian_White_fronted_Capuchin;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
76;Humboldt_s_White_fronted_Capuchin;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
77;Venezuelan_Brown_Capuchin;Frugivore;;;;;;;;;Brazil
78;Colombian_White_faced_Capuchin;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
79;Río_Cesar_White_fronted_Capuchin;Frugivore;;;;;;;;;Colombia
80;Shock_headed_Capuchin;Omnivore;53-99;NI;NI;NI;NI;NI;NI;NI;NI
81;Panamanian_White_faced_Capuchin;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
82;Ka_apor_Capuchin;Omnivore;74;NI;NI;10;13;NI;NI;3;Brazil
83;Sierra_de_Perijá_White_fronted_Capuchin;Frugivore;;;;;;;;;Colombia
84;Santa_Marta_White_fronted_Capuchin;Frugivore;1;1;1;;;;;;Colombia
85;Guianan_Weeper_Capuchin;Omnivore;42;NI;1;;28;NI;1;28;NI
86;Spix_s_White_fronted_Capuchin;Frugivore;1;1;1;;1;;;;Colombia
87;Varied_White_fronted_Capuchin;Insectivore;;;;;;;;;Guinea
88;Marañón_White_fronted_Capuchin;Omnivore;10;NI;NI;NI;54;NI;NI;NI;Ecuador
89;Western_Tarsier;Insectivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
90;Agile_Mangabey;Frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
91;Sooty_Mangabey;Frugivore;20;1;1.3;58;13;NI;NI;6.7;Côte dIvoire
92;Golden_bellied_Mangabey;Frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
93;Tana_River_Mangabey;Frugivore;61.4;2.5;1.9;18;NI;0.6;NI;15.6;NI
94;White_naped_Mangabey;Frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
95;Sanje_River_Mangabey;Frugivore;50;4;2;27;11;1;0;5;NI
96;Red_capped_Mangabey;Frugivore;60;NI;NI;20;NI;NI;NI;NI;Cameroon
97;Syke_s_Monkey;Folivore-frugivore;43-59;22-34;may-13;NI;01-jun;NI;NI;NI;NI
99;Red_tailed_Monkey;Frugivore;61.3;6.8;NI;0.4;25.1;2.8;NI;3.6;Kenya
101;Campbell_s_Monkey;Omnivore;46;8;1;NI;33;NI;NI;12;Côte dIvoire
102;Moustached_Monkey;Frugivore;80;NI;NI;NI;13;NI;NI;7;NI
103;Dent_s_Monkey;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
104;Diana_Monkey;Frugivore;59;16;3;NI;16;NI;NI;6;Côte dIvoire
105;Silver_Monkey;Omnivore;50;9;4;9;25;NI;NI;3;NI
106;Dryas_Monkey;Frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
107;Red_bellied_Monkey;Omnivore;1;1;;;1;;;;Togo
108;Red_eared_Monkey;Frugivore;85;NI;NI;NI;NI;NI;NI;NI;NI
109;Owl_faced_Monkey;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
110;Virungas_Golden_Monkey;Folivore;1.98;66.67;0.99;NI;2.45;NI;NI;27.91;NI
111;Lesula;Folivore_frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
112;Lowe_s_Monkey;Frugivore;24-26;NI;NI;NI;56-63;NI;NI;NI;NI
113;Blue_Monkey;Frugivore;91.1;3;2.1;NI;NI;NI;NI;3.8;South Africa
114;Mona_Monkey;Frugivore;41.7;13.6;11.7;22;9.9;NI;NI;1.1;Bénin
115;De_Brazza_s_Monkey;Frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
116;Putty_nosed_Monkey;Frugivore;70;45;NI;NI;10;NI;NI;NI;NI
117;Spot_nosed_Monkey;Folivore_frugivore;34;40;6;NI;12;NI;NI;8;Côte dIvoire
118;Crowned_Monkey;Frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
119;Roloway_Monkey;Omnivore;20.9;6.5;5.7;33.1;33.8;NI;NI;NI;NI
120;Sclater_s_Monkey;Frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
121;Wolf_s_Monkey;Folivore_frugivore;4.2;29.5;11.41;27.33;NI;NI;NI;27.4;Zaire
122;Montagne_d_Ambre_Dwarf_Lemur;Non-observed;;;;;;;;;Madagascar
123;Crossley_s_Dwarf_Lemur;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;Madagascar
124;Lavasoa_Dwarf_lemur;Non-observed;;;;;;;;;Madagascar
125;Greater_Dwarf_Lemur;Folivore_frugivore;NI;NI;NI;NI;NI;NI;NI;NI;Madagascar
126;Fat_tailed_Dwarf_Lemur;Folivore_frugivore;NI;NI;NI;NI;NI;NI;NI;NI;Madagascar
127;Lesser_Iron_gray_Dwarf_Lemur;Non-observed;;;;;;;;;Madagascar
128; Sheth's_Dwarf_Lemur;;;;;;;;;;Madagascar
129;Sibree_s_Dwarf_Lemur;;;;;;;;;;Madagascar
130;Thomas_s_Dwarf_Lemur;;;;;;;;;;Madagascar
131;Yellow_handed_Titi;Frugivore;74.1;8;0.6;NI;15.8;NI;NI;1.5;NI
132;White_chested_Titi;Frugivore;59.4;6.4;3.9;26.9;3.4;NI;NI;NI;Colombia
133;Medem_s_Titi;Frugivore;1;1;;;1;;;;Brazil
135;Rio_Juruá_Collared_Titi;Frugivore;1;1;;;1;;;;Brazil
136;White_collared_Titi;Frugivore;65;15;NI;NI;16;NI;NI;4;Peru
137;White_nosed_Bearded_Saki;Frugivore;53.9;NI;3;35.9;NI;NI;NI;7.2;NI
138;Rio_Negro_Beared_Saki;Frugivore;54;7;NI;36;NI;NI;NI;3;NI
139; Brown-backed_Bearded_Saki;;;;;;;;;;
140;Guianan_Beared_Saki;Frugivore;sep-28;0-11;01-nov;63-86;NI;NI;NI;NI;NI
141;Black_Bearded_Saki;Frugivore;91.25;2.5;6.25;NI;NI;NI;NI;NI;Surinam
142;Uta_Hick_s_Bearded_Saki;Frugivore;5.4;0.1;18.9;75.6;NI;NI;NI;NI;NI
143;Grivet_Monkey;Omnivore;50.6;18.7;17.6;NI;7.4;NI;NI;5.7;Ethiopia
144;Malbrouck_Monkey;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
145;Bale_Monkey;Folivore;9.6;81.3;3.1;NI;2.3;NI;NI;3.7;Ethiopia
146;Vervet_Monkey;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;South Africa
147;Green_Monkey;Omnivore;26.6;37;2.7;NI;13.2;11.2;NI;9.3;Senegal
148;Tantalus_Monkey;Omnivore;49.2;20.5;5.3;NI;25;NI;NI;NI;Nigeria
149;Angolan_Colobus;Folivore;17;65;5;NI;NI;NI;NI;13;Rwanda
150;Guereza;Folivore_frugivore;2.6;57.2;2.9;22;NI;NI;NI;15.3;NI
151;King_Colobus;Folivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
152;Black_Colobus;Frugivore;4;26;5;60;NI;NI;NI;5;NI
153;White_thighed_Colobus;Folivore;10.7;79;6;NI;NI;NI;NI;4.3;Ghana
154;Aye_aye;Insectivore;0;NI;NI;dic-85;may-42;abr-54;ene-20;NI;Madagascar
155;Patas_Monkey;Omnivore;NI;2.2;9.42;3.87;2.66;30.67;NI;51.18;Kenya
156;Heuglin's_Patas_Monkey;Omnivore;1;1;1;1;1;;;;Sudan
157;White_fronted_Brown_Lemur;Frugivore;68.89;5.89;13.06;NI;NI;NI;NI;12.16;Madagascar
158;White_collared_Brown_Lemur;Frugivore;66.2;12.6;16.8;NI;NI;NI;NI;4.4;NI
159;Red_collared_Brown_Lemur;Frugivore;78.5;4.4;14;NI;2.6;NI;NI;0.5;Madagascar
160;Crowned_Lemur;Frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
161;Blue_eyed_Black_Lemur;Folivore_frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
162;Brown_Lemur;Folivore_frugivore;6.76-42.43;52.8-89.16;3.77-4.82;NI;NI;NI;NI;0.29-0.56;NI
163;Black_Lemur;Frugivore;78;NI;NI;NI;NI;NI;NI;NI;Madagascar
164;Mongoose_Lemur;Folivore_frugivore;59;37;2;NI;NI;NI;1;2;NI
167;Red_bellied_Lemur;Frugivore;80.6;13.6;3.1;NI;NI;NI;NI;2.7;Madagascar
169;Red_fronted_Brown_Lemur;Folivore_frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
170;Rufous_Brown_Lemur;Frugivore;66.8;23.4;4;NI;NI;NI;NI;6.8;Madagascar
172;Sanford_s_Brown_Lemur;Frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
173;Southern_Needle_clawed_Galago;Gummivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
174;Northern_Needle_clawed_Galago;Gummivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
175;Somali_Lesser_Galago;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;Kenya
176;Spectacled_Lesser_Galago;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
177;Southern_Lesser_Galago;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;Madagascar
178;Northern_Lesser_Galago;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
179;Kenya_Coast_Dwarf_Galago;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
180;Demidoff_s_Dwarf_Galago;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
181;Mozambique_Dwarf_Galago;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
182;Mountain_Dwarf_Galago;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
183;Rondo_Dwarf_Galago;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
184;Angolan_Dwarf_Galago;Non-observed;;;;;;;;;Angola
186;Thomas_s_Dwarf_Galago;Omnivore;4;NI;NI;NI;78;18;NI;NI;NI
188;Tanzania_Coast_Dwarf_Galago;Omnivore;8;NI;NI;NI;43;NI;NI;41;Kenia
190;Eastern_Gorilla;Folivore_frugivore;5.7;17.9;0.71;NI;NI;NI;NI;75.69;NI
191;Western_Gorilla;Folivore_frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
192;Lac_Alaotra_Bamboo_Lemur;Folivore;NI;48.3;2.4;2.1;NI;NI;NI;NI;NI
