,Family,Genus,CommonName,Diet
386,Cercopithecidae,Piliocolobus,Upper_Guinea_Red_Colobus,Folivore_frugivore
387,Cercopithecidae,Piliocolobus,Bouvier_s_Red_Colobus,Folivore_frugivore
388,Cercopithecidae,Piliocolobus,Niger_Delta_Red_Colobus,Folivore
389,Cercopithecidae,Piliocolobus,Foa_s_Red_Colobus,Folivore_frugivore
390,Cercopithecidae,Piliocolobus,Udzungwa_Red_Colobus,Folivore_frugivore
391,Cercopithecidae,Piliocolobus,Zanzibar_Red_Colobus,Folivore_frugivore
392,Cercopithecidae,Piliocolobus,Lang_s_Red_Colobus,Folivore_frugivore
393,Cercopithecidae,Piliocolobus,,
394,Cercopithecidae,Piliocolobus,Oustalet_s_Red_Colobus,Folivore
395,Cercopithecidae,Piliocolobus,Oustalet_s_Red_Colobus,Folivore
396,Cercopithecidae,Piliocolobus,Lomami_Red_Colobus,Folivore_frugivore
397,Cercopithecidae,Piliocolobus,Pennant_s_Red_Colobus,Folivore_frugivore
398,Cercopithecidae,Piliocolobus,Preuss_s_Red_Colobus,Folivore
399,Cercopithecidae,Piliocolobus,Tana_River_Red_Colobus,Folivore
400,Cercopithecidae,Piliocolobus,Semliki_Red_Colobus,Folivore_frugivore
401,Cercopithecidae,Piliocolobus,Temminick_s_Red_Colobus,Folivore
402,Cercopithecidae,Piliocolobus,Ashy_Red_Colobus,Folivore
403,Cercopithecidae,Piliocolobus,Tshuapa_Red_Colobus,Folivore
404,Cercopithecidae,Piliocolobus,Miss_Waldron_s_Red_Colobus,Folivore
405,Pitheciidae,Pithecia,Equatorial_Saki,
406,Pitheciidae,Pithecia,Buffy_Saki,Frugivore
407,Pitheciidae,Pithecia,Cazuza_s_Saki,
408,Pitheciidae,Pithecia,Golden_faced_Saki,Frugivore
409,Pitheciidae,Pithecia,Hairy_Saki,Frugivore
410,Pitheciidae,Pithecia,Burnished_Saki,
411,Pitheciidae,Pithecia,Gray_s_Bald_faced_Saki,Frugivore
412,Pitheciidae,Pithecia,Isabel_s_Saki,
413,Pitheciidae,Pithecia,Miller_s_Saki,
414,Pitheciidae,Pithecia,Mittermeier_s_Tapajós_Saki,
415,Pitheciidae,Pithecia,Monk_Saki,
416,Pitheciidae,Pithecia,Napo_Saki,
417,Pitheciidae,Pithecia,Pissinatti_s_Bald_faced_Saki,
418,Pitheciidae,Pithecia,White_faced_saki,Frugivore
419,Pitheciidae,Pithecia,Rylands__Bald_faced_Saki,Frugivore
420,Pitheciidae,Pithecia,Vanzolinis_Bald_faced_Saki,
421,Pitheciidae,Plecturocebus,Madidi_Titi,Frugivore
422,Pitheciidae,Plecturocebus,Lake_Baptista_Titi,
423,Pitheciidae,Plecturocebus,Prince_Bernhard_s_Titi,
424,Pitheciidae,Plecturocebus,Brown_Titi,Frugivore
425,Pitheciidae,Plecturocebus,Chestnut_bellied_Titi,
426,Pitheciidae,Plecturocebus,Caquetá_Titi,Omnivore
427,Pitheciidae,Plecturocebus,Ashy_Titi,
428,Pitheciidae,Plecturocebus,Coppery_Titi,Frugivore
429,Pitheciidae,Plecturocebus,Red_crowned_Titi,Frugivore
430,Pitheciidae,Plecturocebus,White_eared_Titi,Frugivore
431,Pitheciidae,Plecturocebus,Hoffmann_s_Titi,
432,Pitheciidae,Plecturocebus,Milton´s_titi_monkey,
433,Pitheciidae,Plecturocebus,Rio_Beni_Titi,Frugivore
434,Pitheciidae,Plecturocebus,Red_bellied_Titi,Omnivore
435,Pitheciidae,Plecturocebus,Red_bellied_Titi,Omnivore
436,Pitheciidae,Plecturocebus,Red_bellied_Titi,Folivore_frugivore
437,Pitheciidae,Plecturocebus,Red_bellied_Titi,Folivore_frugivore
438,Pitheciidae,Plecturocebus,San_Martín_Titi,Omnivore
439,Pitheciidae,Plecturocebus,San_Martín_Titi,Omnivore
440,Pitheciidae,Plecturocebus,Olalla_s_Titi,Folivore_frugivore
441,Pitheciidae,Plecturocebus,Olalla_s_Titi,Folivore_frugivore
442,Pitheciidae,Plecturocebus,Ornate_Titi,Frugivore
443,Pitheciidae,Plecturocebus,Pale_Titi,Omnivore
444,Pitheciidae,Plecturocebus,Stephen_Nash_s_Titi,
445,Pitheciidae,Plecturocebus,Toppins_Titi,Folivore_frugivore
446,Pitheciidae,Plecturocebus,Urubamba_Brown_Titi,
447,Pitheciidae,Plecturocebus,Vieira_s_Titi,
448,Hominidae,Pongo,Sumatran_Orangutan,Frugivore
449,Hominidae,Pongo,Bornean_Orangutan,Frugivore
450,Hominidae,Pongo,Tapanuli_Orangutan,
451,Cercopithecidae,Presbytis,Black_and_white_Langur,Folivore_frugivore
452,Cercopithecidae,Presbytis,Miller_s_Langur,Folivore
453,Cercopithecidae,Presbytis,Cross_marked_Langur,Folivore_frugivore
454,Cercopithecidae,Presbytis,Javan_Langur,Folivore
455,Cercopithecidae,Presbytis,Banded_Langur,Folivore_frugivore
456,Cercopithecidae,Presbytis,White_fronted_Langur,Folivore
457,Cercopithecidae,Presbytis,Hose_s_Langur,Folivore
458,Cercopithecidae,Presbytis,Black_crested_Sumatran_Langur,Folivore_frugivore
459,Cercopithecidae,Presbytis,Mitered_Langur,Folivore_frugivore
460,Cercopithecidae,Presbytis,Natuna_Islands_Langur,
461,Cercopithecidae,Presbytis,Mentawai_Langur,Folivore_frugivore
462,Cercopithecidae,Presbytis,Maroon_Langur,Folivore_frugivore
463,Cercopithecidae,Presbytis,Sabah_Grizzled_Langur,Folivore_frugivore
464,Cercopithecidae,Presbytis,Pale_thighed_Langur,Folivore_frugivore
465,Cercopithecidae,Presbytis,Siberut_Langur,Folivore_frugivore
466,Cercopithecidae,Presbytis,Black_Sumatran_Langur,Folivore_frugivore
467,Cercopithecidae,Presbytis,Thomas_s_Langur,Folivore_frugivore
468,Cercopithecidae,Procolobus,Olive_Colobus,Folivore
469,Lemuridae,Prolemur,Greater_Bamboo_Lemur,Folivore
470,Indriidae,Propithecus,Silky_Sifaka,Folivore_frugivore
471,Indriidae,Propithecus,Coquerel_s_Sifaka,Folivore_frugivore
472,Indriidae,Propithecus,Crowned_Sifaka,Folivore
473,Indriidae,Propithecus,Decken_s_Sifaka,
474,Indriidae,Propithecus,Diademed_Sifaka,Folivore_frugivore
475,Indriidae,Propithecus,Milne_Edwards_s_Sifaka,Folivore_frugivore
476,Indriidae,Propithecus,Perrier_s_Sifaka,Folivore_frugivore
477,Indriidae,Propithecus,Tattersall_s_Sifaka,Folivore_frugivore
478,Indriidae,Propithecus,Verreaux_s_Sifaka,Folivore_frugivore
479,Cercopithecidae,Pygathrix,Grey_shanked_Douc,Folivore
480,Cercopithecidae,Pygathrix,Red_shanked_Douc,Folivore
481,Cercopithecidae,Pygathrix,Black_shanked_Douc,Folivore_frugivore
482,Cercopithecidae,Rhinopithecus,Tonkin_Snub_nosed_Monkey,Folivore_frugivore
483,Cercopithecidae,Rhinopithecus,Yunnan_Snub_nosed_Monkey,Folivore
484,Cercopithecidae,Rhinopithecus,Guizhou_Snub_nosed_Monkey,Folivore
485,Cercopithecidae,Rhinopithecus,Golden_Snub_nosed_Monkey,Folivore
486,Cercopithecidae,Rhinopithecus,Stryker_s_Snub_nosed_Monkey,Folivore
487,Cercopithecidae,Rungwecebus,Kipunji,Omnivore
488,Callitrichidae,Saguinus,Pied_Tamarin,Frugivore
489,Callitrichidae,Saguinus,Geoffroy_s_Tamarin,Omnivore
490,Callitrichidae,Saguinus,Emperor_Tamarin,Omnivore
491,Callitrichidae,Saguinus,Mottled_face_Tamarin,Frugivore
492,Callitrichidae,Saguinus,Red_bellied_Tamarin,Omnivore
493,Callitrichidae,Saguinus,White_footed_Tamarin,Frugivore
494,Callitrichidae,Saguinus,Martin_s_Bare_faced_Tamarin,Frugivore
495,Callitrichidae,Saguinus,Midas_Tamarin,Omnivore
496,Callitrichidae,Saguinus,Mustached_Tamarin,Omnivore
497,Callitrichidae,Saguinus,Western_Black_handed_Tamarin,Frugivore
498,Callitrichidae,Saguinus,Cotton_top_Tamarin,Omnivore
499,Callitrichidae,Saguinus,Eastern_Black_handed_Tamarin,
500,Cebidae,Saimiri,Black_capped_Squirrel_Monkey,Omnivore
501,Cebidae,Saimiri,Humboldt_s_Squirrel_Monkey,Omnivore
502,Cebidae,Saimiri,Collins'_Squirrel_Monkey,
503,Cebidae,Saimiri,Ecuadorian_Squirrel_Monkey,
504,Cebidae,Saimiri,Central_American_Squirrel_Monkey,Omnivore
505,Cebidae,Saimiri,Guianan_Squirrel_Monkey,Insectivore
506,Cebidae,Saimiri,Guianan_Squirrel_Monkey,Frugivore
507,Cebidae,Saimiri,Golden_backed_Squirrel_Monkey,Omnivore
508,Cebidae,Saimiri,Black_headed_Squirrel_Monkey,Omnivore
509,Cebidae,Sapajus,Guianan_Brown_Capuchin,Omnivore
510,Cebidae,Sapajus,Hooded_Capuchin,Omnivore
511,Cebidae,Sapajus,Blond_Capuchin,Omnivore
512,Cebidae,Sapajus,Bearded_Capuchin,Omnivore
513,Cebidae,Sapajus,Large_headed_Capuchin,Omnivore
514,Cebidae,Sapajus,Black_horned_Capuchin,Omnivore
515,Cebidae,Sapajus,Crested_Capuchin,Frugivore
516,Cebidae,Sapajus,Yellow_breasted_Capuchin,Omnivore
517,Galagidae,Sciurocheirus,Bioko_Squirrel_Galago,Frugivore
518,Galagidae,Sciurocheirus,Cross_River_Squirrel_Galago,Frugivore
519,Galagidae,Sciurocheirus,Cross_River_Squirrel_Galago,Insectivore
520,Galagidae,Sciurocheirus,Gabon_Squirrel_Galago,Frugivore
521,Galagidae,Sciurocheirus,Makandé_squirrel_galago,
522,Cercopithecidae,Semnopithecus,Chamba_Sacred_Langur,Folivore_frugivore
523,Cercopithecidae,Semnopithecus,Bengal_Sacred_Langur,Folivore_frugivore
524,Cercopithecidae,Semnopithecus,Terai_Sacred_Langur,Folivore
525,Cercopithecidae,Semnopithecus,Malabar_Sacred_Langur,Folivore
526,Cercopithecidae,Semnopithecus,Nilgiri_Langur,Folivore_frugivore
527,Cercopithecidae,Semnopithecus,Tufted_Gray_Langur,Folivore_frugivore
528,Cercopithecidae,Semnopithecus,Nepal_Sacred_Langur,Folivore_frugivore
529,Cercopithecidae,Semnopithecus,Purple_faced_Langur,Folivore_frugivore
530,Cercopithecidae,Semnopithecus,Purple_faced_Langur,Folivore
531,Cercopithecidae,Simias,Pig_tailed_Langur,Folivore
532,Hylobatidae,Symphalangus,Siamang,Folivore_frugivore
533,Tarsiidae,Tarsius,Dian_s_Tarsier,Insectivore
534,Tarsiidae,Tarsius,Makassar_Tarsier,
535,Tarsiidae,Tarsius,Lariang_Tarsier,Insectivore
536,Tarsiidae,Tarsius,Peleng_Tarsier,Insectivore
537,Tarsiidae,Tarsius,Sulawesi_Mountain_Tarsier,Insectivore
538,Tarsiidae,Tarsius,Great_Sangihe_Tarsier,Insectivore
539,Tarsiidae,Tarsius,Gursky's_Spectral_Tarsier ,
540,Tarsiidae,Tarsius,Jatna's_Tarsier,
541,Tarsiidae,Tarsius,Selayar_Tarsier,Insectivore
542,Tarsiidae,Tarsius,Siau_Island_Tarsier,Insectivore
543,Tarsiidae,Tarsius,Wallace_s_Tarsier,Insectivore
544,Cercopithecidae,Theropithecus,Gelada,Folivore
545,Cercopithecidae,Trachypithecus,East_Javan_Langur,Folivore
546,Cercopithecidae,Trachypithecus,Tenasserim_Langur,
547,Cercopithecidae,Trachypithecus,Indochinese_Gray_Langur,Folivore_frugivore
548,Cercopithecidae,Trachypithecus,Indochinese_Gray_Langur,Folivore_frugivore
549,Cercopithecidae,Trachypithecus,Indochinese_Gray_Langur,Folivore
550,Cercopithecidae,Trachypithecus,Silvered_Langur,Folivore
551,Cercopithecidae,Trachypithecus,Delacour_s_Langur,Folivore
552,Cercopithecidae,Trachypithecus,Black_Langur,
553,Cercopithecidae,Trachypithecus,Francois_s_Langur,Folivore
554,Cercopithecidae,Trachypithecus,Golden_Langur,Folivore
555,Cercopithecidae,Trachypithecus,Germain_s_Langur,Folivore
556,Cercopithecidae,Trachypithecus,Hatinh_Langur,Folivore
557,Cercopithecidae,Trachypithecus,Laos_Langur,Folivore
558,Cercopithecidae,Trachypithecus,White_headed_Langur,Folivore
559,Cercopithecidae,Trachypithecus,Annamese_Langur,Folivore
560,Cercopithecidae,Trachypithecus,West_Javan_Langur,Folivore
561,Cercopithecidae,Trachypithecus,Dusky_Langur,Folivore
562,Cercopithecidae,Trachypithecus,Phayre_s_Langur,Folivore
563,Cercopithecidae,Trachypithecus,Capped_Langur,Folivore
564,Cercopithecidae,Trachypithecus,Cat_Ba_Langur,Folivore
565,Cercopithecidae,Trachypithecus,Selangor_Silvery_Langur,Folivore
566,Cercopithecidae,Trachypithecus,Shortridge_s_Langur,Folivore
567,Lemuridae,Varecia,Red_Ruffed_Lemur,Frugivore
568,Lemuridae,Varecia,Black_and_white_Ruffed_Lemur,Frugivore
569,Lemuridae,Varecia,Black_and_white_Ruffed_Lemur,Frugivore
