,Family,Genus,CommonName,Diet
80,Cebidae,Cebus,Shock_headed_Capuchin,Omnivore
81,Cebidae,Cebus,Panamanian_White_faced_Capuchin,Omnivore
82,Cebidae,Cebus,Ka_apor_Capuchin,Omnivore
83,Cebidae,Cebus,Sierra_de_Perijá_White_fronted_Capuchin,
84,Cebidae,Cebus,Santa_Marta_White_fronted_Capuchin,
85,Cebidae,Cebus,Guianan_Weeper_Capuchin,Omnivore
86,Cebidae,Cebus,Spix_s_White_fronted_Capuchin,
87,Cebidae,Cebus,Varied_White_fronted_Capuchin,
88,Cebidae,Cebus,Marañón_White_fronted_Capuchin,Omnivore
89,Tarsiidae,Cephalopachus,Western_Tarsier,Insectivore
90,Cercopithecidae,Cercocebus,Agile_Mangabey,Frugivore
91,Cercopithecidae,Cercocebus,Sooty_Mangabey,Frugivore
92,Cercopithecidae,Cercocebus,Golden_bellied_Mangabey,Frugivore
93,Cercopithecidae,Cercocebus,Tana_River_Mangabey,Frugivore
94,Cercopithecidae,Cercocebus,White_naped_Mangabey,Frugivore
95,Cercopithecidae,Cercocebus,Sanje_River_Mangabey,Frugivore
96,Cercopithecidae,Cercocebus,Red_capped_Mangabey,Frugivore
97,Cercopithecidae,Cercopithecus,Syke_s_Monkey,Folivore-frugivore
98,Cercopithecidae,Cercopithecus,Syke_s_Monkey,Frugivore
99,Cercopithecidae,Cercopithecus,Red_tailed_Monkey,Frugivore
100,Cercopithecidae,Cercopithecus,Campbell_s_Monkey,Frugivore
101,Cercopithecidae,Cercopithecus,Campbell_s_Monkey,Omnivore
102,Cercopithecidae,Cercopithecus,Moustached_Monkey,Frugivore
103,Cercopithecidae,Cercopithecus,Dent_s_Monkey,Omnivore
104,Cercopithecidae,Cercopithecus,Diana_Monkey,Frugivore
105,Cercopithecidae,Cercopithecus,Silver_Monkey,Omnivore
106,Cercopithecidae,Cercopithecus,Dryas_Monkey,Frugivore
107,Cercopithecidae,Cercopithecus,Red_bellied_Monkey,
108,Cercopithecidae,Cercopithecus,Red_eared_Monkey,Frugivore
109,Cercopithecidae,Cercopithecus,Owl_faced_Monkey,Omnivore
110,Cercopithecidae,Cercopithecus,Virungas_Golden_Monkey,Folivore
111,Cercopithecidae,Cercopithecus,Lesula,Folivore_frugivore
112,Cercopithecidae,Cercopithecus,Lowe_s_Monkey,Frugivore
113,Cercopithecidae,Cercopithecus,Blue_Monkey,Frugivore
114,Cercopithecidae,Cercopithecus,Mona_Monkey,Frugivore
115,Cercopithecidae,Cercopithecus,De_Brazza_s_Monkey,Frugivore
116,Cercopithecidae,Cercopithecus,Putty_nosed_Monkey,Frugivore
117,Cercopithecidae,Cercopithecus,Spot_nosed_Monkey,Folivore_frugivore
118,Cercopithecidae,Cercopithecus,Crowned_Monkey,Frugivore
119,Cercopithecidae,Cercopithecus,Roloway_Monkey,Omnivore
120,Cercopithecidae,Cercopithecus,Sclater_s_Monkey,Frugivore
121,Cercopithecidae,Cercopithecus,Wolf_s_Monkey,Folivore_frugivore
122,Cheirogaleidae,Cheirogaleus,Montagne_d_Ambre_Dwarf_Lemur,
123,Cheirogaleidae,Cheirogaleus,Crossley_s_Dwarf_Lemur,Omnivore
124,Cheirogaleidae,Cheirogaleus,Lavasoa_Dwarf_lemur,
125,Cheirogaleidae,Cheirogaleus,Greater_Dwarf_Lemur,Folivore_frugivore
126,Cheirogaleidae,Cheirogaleus,Fat_tailed_Dwarf_Lemur,Folivore_frugivore
127,Cheirogaleidae,Cheirogaleus,Lesser_Iron_gray_Dwarf_Lemur,
128,Cheirogaleidae,Cheirogaleus, Sheth's_Dwarf_Lemur,
129,Cheirogaleidae,Cheirogaleus,Sibree_s_Dwarf_Lemur,
130,Cheirogaleidae,Cheirogaleus,Thomas_s_Dwarf_Lemur,
131,Pitheciidae,Cheracebus,Yellow_handed_Titi,Frugivore
132,Pitheciidae,Cheracebus,White_chested_Titi,Frugivore
133,Pitheciidae,Cheracebus,Medem_s_Titi,
134,Pitheciidae,Cheracebus,Rio_Purus_Titi,
135,Pitheciidae,Cheracebus,Rio_Juruá_Collared_Titi,
136,Pitheciidae,Cheracebus,White_collared_Titi,Frugivore
137,Pitheciidae,Chiropotes,White_nosed_Bearded_Saki,Frugivore
138,Pitheciidae,Chiropotes,Rio_Negro_Beared_Saki,Frugivore
139,Pitheciidae,Chiropotes, Brown-backed_Bearded_Saki,
140,Pitheciidae,Chiropotes,Guianan_Beared_Saki,Frugivore
141,Pitheciidae,Chiropotes,Black_Bearded_Saki,Frugivore
142,Pitheciidae,Chiropotes,Uta_Hick_s_Bearded_Saki,Frugivore
143,Cercopithecidae,Chlorocebus,Grivet_Monkey,Omnivore
144,Cercopithecidae,Chlorocebus,Malbrouck_Monkey,Omnivore
145,Cercopithecidae,Chlorocebus,Bale_Monkey,Folivore
146,Cercopithecidae,Chlorocebus,Vervet_Monkey,Omnivore
147,Cercopithecidae,Chlorocebus,Green_Monkey,Omnivore
148,Cercopithecidae,Chlorocebus,Tantalus_Monkey,Omnivore
149,Cercopithecidae,Colobus,Angolan_Colobus,Folivore
150,Cercopithecidae,Colobus,Guereza,Folivore_frugivore
151,Cercopithecidae,Colobus,King_Colobus,Folivore
152,Cercopithecidae,Colobus,Black_Colobus,Frugivore
153,Cercopithecidae,Colobus,White_thighed_Colobus,Folivore
154,Daubentoniidae,Daubentonia,Aye_aye,Insectivore
155,Cercopithecidae,Erythrocebus,Patas_Monkey,Omnivore
156,Cercopithecidae,Erythrocebus,Heuglin's_Patas_Monkey,
157,Lemuridae,Eulemur,White_fronted_Brown_Lemur,Frugivore
